pass,    time (ms),    total time (ms),    time,     total_time
1,    2373,    2373,    000h 00m 02.373s,    000h 00m 02.373s
2,    2445,    4818,    000h 00m 02.445s,    000h 00m 04.818s
3,    2389,    7207,    000h 00m 02.389s,    000h 00m 07.207s
4,    2419,    9626,    000h 00m 02.419s,    000h 00m 09.626s
5,    2269,    11895,    000h 00m 02.269s,    000h 00m 11.895s
6,    2301,    14196,    000h 00m 02.301s,    000h 00m 14.196s
7,    2414,    16610,    000h 00m 02.414s,    000h 00m 16.610s
8,    2299,    18909,    000h 00m 02.299s,    000h 00m 18.909s
9,    2380,    21289,    000h 00m 02.380s,    000h 00m 21.289s
10,    2204,    23493,    000h 00m 02.204s,    000h 00m 23.493s
11,    2195,    25688,    000h 00m 02.195s,    000h 00m 25.688s
12,    2396,    28084,    000h 00m 02.396s,    000h 00m 28.084s
13,    2376,    30460,    000h 00m 02.376s,    000h 00m 30.460s
14,    2408,    32868,    000h 00m 02.408s,    000h 00m 32.868s
15,    2384,    35252,    000h 00m 02.384s,    000h 00m 35.252s
16,    2215,    37467,    000h 00m 02.215s,    000h 00m 37.467s
17,    2247,    39714,    000h 00m 02.247s,    000h 00m 39.714s
18,    2332,    42046,    000h 00m 02.332s,    000h 00m 42.046s
19,    2374,    44420,    000h 00m 02.374s,    000h 00m 44.420s
20,    2234,    46654,    000h 00m 02.234s,    000h 00m 46.654s
21,    2315,    48969,    000h 00m 02.315s,    000h 00m 48.969s
22,    2228,    51197,    000h 00m 02.228s,    000h 00m 51.197s
23,    2276,    53473,    000h 00m 02.276s,    000h 00m 53.473s
24,    2357,    55830,    000h 00m 02.357s,    000h 00m 55.830s
25,    2264,    58094,    000h 00m 02.264s,    000h 00m 58.094s
26,    2429,    60523,    000h 00m 02.429s,    000h 01m 00.523s
27,    2348,    62871,    000h 00m 02.348s,    000h 01m 02.871s
28,    2292,    65163,    000h 00m 02.292s,    000h 01m 05.163s
29,    2134,    67297,    000h 00m 02.134s,    000h 01m 07.297s
30,    2286,    69583,    000h 00m 02.286s,    000h 01m 09.583s
31,    2385,    71968,    000h 00m 02.385s,    000h 01m 11.968s
32,    2299,    74267,    000h 00m 02.299s,    000h 01m 14.267s
33,    2259,    76526,    000h 00m 02.259s,    000h 01m 16.526s
34,    2104,    78630,    000h 00m 02.104s,    000h 01m 18.630s
35,    2352,    80982,    000h 00m 02.352s,    000h 01m 20.982s
36,    2052,    83034,    000h 00m 02.052s,    000h 01m 23.034s
37,    2239,    85273,    000h 00m 02.239s,    000h 01m 25.273s
38,    2301,    87574,    000h 00m 02.301s,    000h 01m 27.574s
39,    2288,    89862,    000h 00m 02.288s,    000h 01m 29.862s
40,    2367,    92229,    000h 00m 02.367s,    000h 01m 32.229s
41,    2289,    94518,    000h 00m 02.289s,    000h 01m 34.518s
42,    2167,    96685,    000h 00m 02.167s,    000h 01m 36.685s
43,    2080,    98765,    000h 00m 02.080s,    000h 01m 38.765s
44,    2340,    101105,    000h 00m 02.340s,    000h 01m 41.105s
45,    2324,    103429,    000h 00m 02.324s,    000h 01m 43.429s
46,    2340,    105769,    000h 00m 02.340s,    000h 01m 45.769s
47,    2110,    107879,    000h 00m 02.110s,    000h 01m 47.879s
48,    2219,    110098,    000h 00m 02.219s,    000h 01m 50.098s
49,    2306,    112404,    000h 00m 02.306s,    000h 01m 52.404s
50,    2277,    114681,    000h 00m 02.277s,    000h 01m 54.681s
51,    2367,    117048,    000h 00m 02.367s,    000h 01m 57.048s
52,    2232,    119280,    000h 00m 02.232s,    000h 01m 59.280s
53,    2105,    121385,    000h 00m 02.105s,    000h 02m 01.385s
54,    2355,    123740,    000h 00m 02.355s,    000h 02m 03.740s
55,    2236,    125976,    000h 00m 02.236s,    000h 02m 05.976s
56,    2263,    128239,    000h 00m 02.263s,    000h 02m 08.239s
57,    2351,    130590,    000h 00m 02.351s,    000h 02m 10.590s
58,    2093,    132683,    000h 00m 02.093s,    000h 02m 12.683s
59,    2418,    135101,    000h 00m 02.418s,    000h 02m 15.101s
60,    2205,    137306,    000h 00m 02.205s,    000h 02m 17.306s
61,    2174,    139480,    000h 00m 02.174s,    000h 02m 19.480s
62,    2126,    141606,    000h 00m 02.126s,    000h 02m 21.606s
63,    2263,    143869,    000h 00m 02.263s,    000h 02m 23.869s
64,    2212,    146081,    000h 00m 02.212s,    000h 02m 26.081s
65,    2230,    148311,    000h 00m 02.230s,    000h 02m 28.311s
66,    2275,    150586,    000h 00m 02.275s,    000h 02m 30.586s
67,    2364,    152950,    000h 00m 02.364s,    000h 02m 32.950s
68,    2428,    155378,    000h 00m 02.428s,    000h 02m 35.378s
69,    2388,    157766,    000h 00m 02.388s,    000h 02m 37.766s
70,    2393,    160159,    000h 00m 02.393s,    000h 02m 40.159s
71,    2267,    162426,    000h 00m 02.267s,    000h 02m 42.426s
72,    2311,    164737,    000h 00m 02.311s,    000h 02m 44.737s
73,    2287,    167024,    000h 00m 02.287s,    000h 02m 47.024s
74,    2353,    169377,    000h 00m 02.353s,    000h 02m 49.377s
75,    2157,    171534,    000h 00m 02.157s,    000h 02m 51.534s
76,    2334,    173868,    000h 00m 02.334s,    000h 02m 53.868s
77,    2359,    176227,    000h 00m 02.359s,    000h 02m 56.227s
78,    2273,    178500,    000h 00m 02.273s,    000h 02m 58.500s
79,    2331,    180831,    000h 00m 02.331s,    000h 03m 00.831s
80,    2366,    183197,    000h 00m 02.366s,    000h 03m 03.197s
81,    2365,    185562,    000h 00m 02.365s,    000h 03m 05.562s
82,    2194,    187756,    000h 00m 02.194s,    000h 03m 07.756s
83,    2149,    189905,    000h 00m 02.149s,    000h 03m 09.905s
84,    2317,    192222,    000h 00m 02.317s,    000h 03m 12.222s
85,    2258,    194480,    000h 00m 02.258s,    000h 03m 14.480s
86,    2141,    196621,    000h 00m 02.141s,    000h 03m 16.621s
87,    2333,    198954,    000h 00m 02.333s,    000h 03m 18.954s
88,    2221,    201175,    000h 00m 02.221s,    000h 03m 21.175s
89,    2194,    203369,    000h 00m 02.194s,    000h 03m 23.369s
90,    2267,    205636,    000h 00m 02.267s,    000h 03m 25.636s
91,    2320,    207956,    000h 00m 02.320s,    000h 03m 27.956s
92,    2293,    210249,    000h 00m 02.293s,    000h 03m 30.249s
93,    2387,    212636,    000h 00m 02.387s,    000h 03m 32.636s
94,    2231,    214867,    000h 00m 02.231s,    000h 03m 34.867s
95,    2258,    217125,    000h 00m 02.258s,    000h 03m 37.125s
96,    2428,    219553,    000h 00m 02.428s,    000h 03m 39.553s
97,    2327,    221880,    000h 00m 02.327s,    000h 03m 41.880s
98,    2271,    224151,    000h 00m 02.271s,    000h 03m 44.151s
99,    2128,    226279,    000h 00m 02.128s,    000h 03m 46.279s
100,    2232,    228511,    000h 00m 02.232s,    000h 03m 48.511s
101,    2258,    230769,    000h 00m 02.258s,    000h 03m 50.769s
102,    2243,    233012,    000h 00m 02.243s,    000h 03m 53.012s
103,    2335,    235347,    000h 00m 02.335s,    000h 03m 55.347s
104,    2223,    237570,    000h 00m 02.223s,    000h 03m 57.570s
105,    2365,    239935,    000h 00m 02.365s,    000h 03m 59.935s
106,    2143,    242078,    000h 00m 02.143s,    000h 04m 02.078s
107,    2407,    244485,    000h 00m 02.407s,    000h 04m 04.485s
108,    2379,    246864,    000h 00m 02.379s,    000h 04m 06.864s
109,    2330,    249194,    000h 00m 02.330s,    000h 04m 09.194s
110,    2336,    251530,    000h 00m 02.336s,    000h 04m 11.530s
111,    2350,    253880,    000h 00m 02.350s,    000h 04m 13.880s
112,    2490,    256370,    000h 00m 02.490s,    000h 04m 16.370s
113,    2339,    258709,    000h 00m 02.339s,    000h 04m 18.709s
114,    2244,    260953,    000h 00m 02.244s,    000h 04m 20.953s
115,    2286,    263239,    000h 00m 02.286s,    000h 04m 23.239s
116,    2308,    265547,    000h 00m 02.308s,    000h 04m 25.547s
117,    2368,    267915,    000h 00m 02.368s,    000h 04m 27.915s
118,    2265,    270180,    000h 00m 02.265s,    000h 04m 30.180s
119,    2092,    272272,    000h 00m 02.092s,    000h 04m 32.272s
120,    2333,    274605,    000h 00m 02.333s,    000h 04m 34.605s
121,    2200,    276805,    000h 00m 02.200s,    000h 04m 36.805s
122,    2125,    278930,    000h 00m 02.125s,    000h 04m 38.930s
123,    2336,    281266,    000h 00m 02.336s,    000h 04m 41.266s
124,    2390,    283656,    000h 00m 02.390s,    000h 04m 43.656s
125,    2310,    285966,    000h 00m 02.310s,    000h 04m 45.966s
126,    2230,    288196,    000h 00m 02.230s,    000h 04m 48.196s
127,    2372,    290568,    000h 00m 02.372s,    000h 04m 50.568s
128,    2368,    292936,    000h 00m 02.368s,    000h 04m 52.936s
129,    2199,    295135,    000h 00m 02.199s,    000h 04m 55.135s
130,    2453,    297588,    000h 00m 02.453s,    000h 04m 57.588s
131,    2336,    299924,    000h 00m 02.336s,    000h 04m 59.924s
132,    2342,    302266,    000h 00m 02.342s,    000h 05m 02.266s
133,    2307,    304573,    000h 00m 02.307s,    000h 05m 04.573s
134,    2327,    306900,    000h 00m 02.327s,    000h 05m 06.900s
135,    2251,    309151,    000h 00m 02.251s,    000h 05m 09.151s
136,    2253,    311404,    000h 00m 02.253s,    000h 05m 11.404s
137,    2230,    313634,    000h 00m 02.230s,    000h 05m 13.634s
138,    2164,    315798,    000h 00m 02.164s,    000h 05m 15.798s
139,    2235,    318033,    000h 00m 02.235s,    000h 05m 18.033s
