pass,    time (ms),    total time (ms),    time,     total_time
1,    4119,    4119,    000h 00m 04.119s,    000h 00m 04.119s
2,    4148,    8267,    000h 00m 04.148s,    000h 00m 08.267s
3,    4291,    12558,    000h 00m 04.291s,    000h 00m 12.558s
4,    4161,    16719,    000h 00m 04.161s,    000h 00m 16.719s
5,    4150,    20869,    000h 00m 04.150s,    000h 00m 20.869s
6,    4184,    25053,    000h 00m 04.184s,    000h 00m 25.053s
7,    4102,    29155,    000h 00m 04.102s,    000h 00m 29.155s
8,    4102,    33257,    000h 00m 04.102s,    000h 00m 33.257s
9,    4080,    37337,    000h 00m 04.080s,    000h 00m 37.337s
10,    4165,    41502,    000h 00m 04.165s,    000h 00m 41.502s
11,    4159,    45661,    000h 00m 04.159s,    000h 00m 45.661s
12,    4110,    49771,    000h 00m 04.110s,    000h 00m 49.771s
13,    4203,    53974,    000h 00m 04.203s,    000h 00m 53.974s
14,    4192,    58166,    000h 00m 04.192s,    000h 00m 58.166s
15,    4133,    62299,    000h 00m 04.133s,    000h 01m 02.299s
16,    4165,    66464,    000h 00m 04.165s,    000h 01m 06.464s
17,    4202,    70666,    000h 00m 04.202s,    000h 01m 10.666s
18,    4134,    74800,    000h 00m 04.134s,    000h 01m 14.800s
19,    13622,    88422,    000h 00m 13.622s,    000h 01m 28.422s
20,    4153,    92575,    000h 00m 04.153s,    000h 01m 32.575s
21,    4141,    96716,    000h 00m 04.141s,    000h 01m 36.716s
22,    4056,    100772,    000h 00m 04.056s,    000h 01m 40.772s
23,    4284,    105056,    000h 00m 04.284s,    000h 01m 45.056s
24,    4118,    109174,    000h 00m 04.118s,    000h 01m 49.174s
25,    4142,    113316,    000h 00m 04.142s,    000h 01m 53.316s
26,    4163,    117479,    000h 00m 04.163s,    000h 01m 57.479s
27,    4154,    121633,    000h 00m 04.154s,    000h 02m 01.633s
28,    4106,    125739,    000h 00m 04.106s,    000h 02m 05.739s
29,    4094,    129833,    000h 00m 04.094s,    000h 02m 09.833s
30,    4107,    133940,    000h 00m 04.107s,    000h 02m 13.940s
31,    4103,    138043,    000h 00m 04.103s,    000h 02m 18.043s
32,    4109,    142152,    000h 00m 04.109s,    000h 02m 22.152s
33,    4223,    146375,    000h 00m 04.223s,    000h 02m 26.375s
34,    4106,    150481,    000h 00m 04.106s,    000h 02m 30.481s
35,    4096,    154577,    000h 00m 04.096s,    000h 02m 34.577s
36,    4116,    158693,    000h 00m 04.116s,    000h 02m 38.693s
37,    4223,    162916,    000h 00m 04.223s,    000h 02m 42.916s
38,    4073,    166989,    000h 00m 04.073s,    000h 02m 46.989s
39,    4106,    171095,    000h 00m 04.106s,    000h 02m 51.095s
40,    4041,    175136,    000h 00m 04.041s,    000h 02m 55.136s
41,    4050,    179186,    000h 00m 04.050s,    000h 02m 59.186s
42,    4082,    183268,    000h 00m 04.082s,    000h 03m 03.268s
43,    4089,    187357,    000h 00m 04.089s,    000h 03m 07.357s
44,    4130,    191487,    000h 00m 04.130s,    000h 03m 11.487s
45,    4176,    195663,    000h 00m 04.176s,    000h 03m 15.663s
46,    14669,    210332,    000h 00m 14.669s,    000h 03m 30.332s
47,    4213,    214545,    000h 00m 04.213s,    000h 03m 34.545s
48,    4077,    218622,    000h 00m 04.077s,    000h 03m 38.622s
49,    4107,    222729,    000h 00m 04.107s,    000h 03m 42.729s
50,    4113,    226842,    000h 00m 04.113s,    000h 03m 46.842s
51,    4121,    230963,    000h 00m 04.121s,    000h 03m 50.963s
52,    4097,    235060,    000h 00m 04.097s,    000h 03m 55.060s
53,    4260,    239320,    000h 00m 04.260s,    000h 03m 59.320s
54,    4134,    243454,    000h 00m 04.134s,    000h 04m 03.454s
55,    4102,    247556,    000h 00m 04.102s,    000h 04m 07.556s
56,    4160,    251716,    000h 00m 04.160s,    000h 04m 11.716s
57,    4220,    255936,    000h 00m 04.220s,    000h 04m 15.936s
58,    28879,    284815,    000h 00m 28.879s,    000h 04m 44.815s
59,    26425,    311240,    000h 00m 26.425s,    000h 05m 11.240s
60,    4038,    315278,    000h 00m 04.038s,    000h 05m 15.278s
61,    4041,    319319,    000h 00m 04.041s,    000h 05m 19.319s
62,    4047,    323366,    000h 00m 04.047s,    000h 05m 23.366s
63,    4035,    327401,    000h 00m 04.035s,    000h 05m 27.401s
64,    4411,    331812,    000h 00m 04.411s,    000h 05m 31.812s
65,    4312,    336124,    000h 00m 04.312s,    000h 05m 36.124s
66,    4108,    340232,    000h 00m 04.108s,    000h 05m 40.232s
67,    4113,    344345,    000h 00m 04.113s,    000h 05m 44.345s
68,    4065,    348410,    000h 00m 04.065s,    000h 05m 48.410s
69,    4066,    352476,    000h 00m 04.066s,    000h 05m 52.476s
70,    4045,    356521,    000h 00m 04.045s,    000h 05m 56.521s
71,    4062,    360583,    000h 00m 04.062s,    000h 06m 00.583s
72,    4390,    364973,    000h 00m 04.390s,    000h 06m 04.973s
73,    4288,    369261,    000h 00m 04.288s,    000h 06m 09.261s
74,    4126,    373387,    000h 00m 04.126s,    000h 06m 13.387s
75,    4074,    377461,    000h 00m 04.074s,    000h 06m 17.461s
76,    4053,    381514,    000h 00m 04.053s,    000h 06m 21.514s
77,    4110,    385624,    000h 00m 04.110s,    000h 06m 25.624s
78,    4181,    389805,    000h 00m 04.181s,    000h 06m 29.805s
79,    4110,    393915,    000h 00m 04.110s,    000h 06m 33.915s
80,    4054,    397969,    000h 00m 04.054s,    000h 06m 37.969s
81,    4063,    402032,    000h 00m 04.063s,    000h 06m 42.032s
82,    4104,    406136,    000h 00m 04.104s,    000h 06m 46.136s
83,    4120,    410256,    000h 00m 04.120s,    000h 06m 50.256s
84,    4037,    414293,    000h 00m 04.037s,    000h 06m 54.293s
85,    4043,    418336,    000h 00m 04.043s,    000h 06m 58.336s
86,    4064,    422400,    000h 00m 04.064s,    000h 07m 02.400s
87,    4625,    427025,    000h 00m 04.625s,    000h 07m 07.025s
88,    4134,    431159,    000h 00m 04.134s,    000h 07m 11.159s
89,    4162,    435321,    000h 00m 04.162s,    000h 07m 15.321s
90,    4277,    439598,    000h 00m 04.277s,    000h 07m 19.598s
91,    4083,    443681,    000h 00m 04.083s,    000h 07m 23.681s
92,    4068,    447749,    000h 00m 04.068s,    000h 07m 27.749s
93,    4044,    451793,    000h 00m 04.044s,    000h 07m 31.793s
94,    4094,    455887,    000h 00m 04.094s,    000h 07m 35.887s
95,    4143,    460030,    000h 00m 04.143s,    000h 07m 40.030s
96,    4031,    464061,    000h 00m 04.031s,    000h 07m 44.061s
97,    4037,    468098,    000h 00m 04.037s,    000h 07m 48.098s
98,    4043,    472141,    000h 00m 04.043s,    000h 07m 52.141s
99,    4044,    476185,    000h 00m 04.044s,    000h 07m 56.185s
