pass,    time (ms),    total time (ms),    time,     total_time
1,    3394,    3394,    000h 00m 03.394s,    000h 00m 03.394s
2,    3385,    6779,    000h 00m 03.385s,    000h 00m 06.779s
3,    3476,    10255,    000h 00m 03.476s,    000h 00m 10.255s
4,    3439,    13694,    000h 00m 03.439s,    000h 00m 13.694s
5,    3381,    17075,    000h 00m 03.381s,    000h 00m 17.075s
6,    3412,    20487,    000h 00m 03.412s,    000h 00m 20.487s
7,    3395,    23882,    000h 00m 03.395s,    000h 00m 23.882s
8,    3384,    27266,    000h 00m 03.384s,    000h 00m 27.266s
9,    3396,    30662,    000h 00m 03.396s,    000h 00m 30.662s
10,    3389,    34051,    000h 00m 03.389s,    000h 00m 34.051s
11,    3396,    37447,    000h 00m 03.396s,    000h 00m 37.447s
12,    3412,    40859,    000h 00m 03.412s,    000h 00m 40.859s
13,    3401,    44260,    000h 00m 03.401s,    000h 00m 44.260s
14,    3390,    47650,    000h 00m 03.390s,    000h 00m 47.650s
15,    3482,    51132,    000h 00m 03.482s,    000h 00m 51.132s
16,    3378,    54510,    000h 00m 03.378s,    000h 00m 54.510s
17,    3398,    57908,    000h 00m 03.398s,    000h 00m 57.908s
18,    3400,    61308,    000h 00m 03.400s,    000h 01m 01.308s
19,    3384,    64692,    000h 00m 03.384s,    000h 01m 04.692s
20,    3386,    68078,    000h 00m 03.386s,    000h 01m 08.078s
21,    3382,    71460,    000h 00m 03.382s,    000h 01m 11.460s
22,    3377,    74837,    000h 00m 03.377s,    000h 01m 14.837s
23,    3382,    78219,    000h 00m 03.382s,    000h 01m 18.219s
24,    3375,    81594,    000h 00m 03.375s,    000h 01m 21.594s
25,    3400,    84994,    000h 00m 03.400s,    000h 01m 24.994s
26,    3414,    88408,    000h 00m 03.414s,    000h 01m 28.408s
27,    3399,    91807,    000h 00m 03.399s,    000h 01m 31.807s
28,    3409,    95216,    000h 00m 03.409s,    000h 01m 35.216s
29,    3398,    98614,    000h 00m 03.398s,    000h 01m 38.614s
30,    3393,    102007,    000h 00m 03.393s,    000h 01m 42.007s
31,    3392,    105399,    000h 00m 03.392s,    000h 01m 45.399s
32,    3384,    108783,    000h 00m 03.384s,    000h 01m 48.783s
33,    3390,    112173,    000h 00m 03.390s,    000h 01m 52.173s
34,    3387,    115560,    000h 00m 03.387s,    000h 01m 55.560s
35,    3427,    118987,    000h 00m 03.427s,    000h 01m 58.987s
36,    3393,    122380,    000h 00m 03.393s,    000h 02m 02.380s
37,    3383,    125763,    000h 00m 03.383s,    000h 02m 05.763s
38,    3381,    129144,    000h 00m 03.381s,    000h 02m 09.144s
39,    3378,    132522,    000h 00m 03.378s,    000h 02m 12.522s
40,    3398,    135920,    000h 00m 03.398s,    000h 02m 15.920s
41,    3394,    139314,    000h 00m 03.394s,    000h 02m 19.314s
42,    3393,    142707,    000h 00m 03.393s,    000h 02m 22.707s
43,    3398,    146105,    000h 00m 03.398s,    000h 02m 26.105s
44,    3380,    149485,    000h 00m 03.380s,    000h 02m 29.485s
45,    3382,    152867,    000h 00m 03.382s,    000h 02m 32.867s
46,    3374,    156241,    000h 00m 03.374s,    000h 02m 36.241s
47,    3392,    159633,    000h 00m 03.392s,    000h 02m 39.633s
48,    3375,    163008,    000h 00m 03.375s,    000h 02m 43.008s
49,    3383,    166391,    000h 00m 03.383s,    000h 02m 46.391s
50,    3383,    169774,    000h 00m 03.383s,    000h 02m 49.774s
51,    3382,    173156,    000h 00m 03.382s,    000h 02m 53.156s
52,    3393,    176549,    000h 00m 03.393s,    000h 02m 56.549s
53,    3408,    179957,    000h 00m 03.408s,    000h 02m 59.957s
54,    3388,    183345,    000h 00m 03.388s,    000h 03m 03.345s
55,    3383,    186728,    000h 00m 03.383s,    000h 03m 06.728s
56,    3400,    190128,    000h 00m 03.400s,    000h 03m 10.128s
57,    3392,    193520,    000h 00m 03.392s,    000h 03m 13.520s
58,    3420,    196940,    000h 00m 03.420s,    000h 03m 16.940s
59,    3418,    200358,    000h 00m 03.418s,    000h 03m 20.358s
60,    3389,    203747,    000h 00m 03.389s,    000h 03m 23.747s
61,    3399,    207146,    000h 00m 03.399s,    000h 03m 27.146s
62,    3387,    210533,    000h 00m 03.387s,    000h 03m 30.533s
63,    3378,    213911,    000h 00m 03.378s,    000h 03m 33.911s
64,    3393,    217304,    000h 00m 03.393s,    000h 03m 37.304s
65,    3378,    220682,    000h 00m 03.378s,    000h 03m 40.682s
66,    3386,    224068,    000h 00m 03.386s,    000h 03m 44.068s
67,    3394,    227462,    000h 00m 03.394s,    000h 03m 47.462s
68,    3383,    230845,    000h 00m 03.383s,    000h 03m 50.845s
69,    3392,    234237,    000h 00m 03.392s,    000h 03m 54.237s
70,    3399,    237636,    000h 00m 03.399s,    000h 03m 57.636s
71,    3378,    241014,    000h 00m 03.378s,    000h 04m 01.014s
72,    3386,    244400,    000h 00m 03.386s,    000h 04m 04.400s
73,    3403,    247803,    000h 00m 03.403s,    000h 04m 07.803s
74,    3391,    251194,    000h 00m 03.391s,    000h 04m 11.194s
75,    3394,    254588,    000h 00m 03.394s,    000h 04m 14.588s
76,    3400,    257988,    000h 00m 03.400s,    000h 04m 17.988s
77,    3380,    261368,    000h 00m 03.380s,    000h 04m 21.368s
78,    3384,    264752,    000h 00m 03.384s,    000h 04m 24.752s
79,    3380,    268132,    000h 00m 03.380s,    000h 04m 28.132s
80,    3398,    271530,    000h 00m 03.398s,    000h 04m 31.530s
81,    3378,    274908,    000h 00m 03.378s,    000h 04m 34.908s
82,    3384,    278292,    000h 00m 03.384s,    000h 04m 38.292s
83,    3376,    281668,    000h 00m 03.376s,    000h 04m 41.668s
84,    3373,    285041,    000h 00m 03.373s,    000h 04m 45.041s
85,    3394,    288435,    000h 00m 03.394s,    000h 04m 48.435s
86,    3394,    291829,    000h 00m 03.394s,    000h 04m 51.829s
87,    3386,    295215,    000h 00m 03.386s,    000h 04m 55.215s
88,    3420,    298635,    000h 00m 03.420s,    000h 04m 58.635s
89,    3388,    302023,    000h 00m 03.388s,    000h 05m 02.023s
90,    3390,    305413,    000h 00m 03.390s,    000h 05m 05.413s
91,    3404,    308817,    000h 00m 03.404s,    000h 05m 08.817s
92,    3390,    312207,    000h 00m 03.390s,    000h 05m 12.207s
93,    3386,    315593,    000h 00m 03.386s,    000h 05m 15.593s
94,    3391,    318984,    000h 00m 03.391s,    000h 05m 18.984s
95,    3393,    322377,    000h 00m 03.393s,    000h 05m 22.377s
96,    3380,    325757,    000h 00m 03.380s,    000h 05m 25.757s
97,    3387,    329144,    000h 00m 03.387s,    000h 05m 29.144s
98,    3382,    332526,    000h 00m 03.382s,    000h 05m 32.526s
99,    3383,    335909,    000h 00m 03.383s,    000h 05m 35.909s
100,    3386,    339295,    000h 00m 03.386s,    000h 05m 39.295s
101,    3377,    342672,    000h 00m 03.377s,    000h 05m 42.672s
102,    3385,    346057,    000h 00m 03.385s,    000h 05m 46.057s
103,    3384,    349441,    000h 00m 03.384s,    000h 05m 49.441s
104,    3391,    352832,    000h 00m 03.391s,    000h 05m 52.832s
105,    3382,    356214,    000h 00m 03.382s,    000h 05m 56.214s
106,    3406,    359620,    000h 00m 03.406s,    000h 05m 59.620s
107,    3410,    363030,    000h 00m 03.410s,    000h 06m 03.030s
108,    3391,    366421,    000h 00m 03.391s,    000h 06m 06.421s
109,    3421,    369842,    000h 00m 03.421s,    000h 06m 09.842s
110,    3398,    373240,    000h 00m 03.398s,    000h 06m 13.240s
111,    3401,    376641,    000h 00m 03.401s,    000h 06m 16.641s
112,    3380,    380021,    000h 00m 03.380s,    000h 06m 20.021s
113,    3391,    383412,    000h 00m 03.391s,    000h 06m 23.412s
114,    3385,    386797,    000h 00m 03.385s,    000h 06m 26.797s
115,    3381,    390178,    000h 00m 03.381s,    000h 06m 30.178s
116,    3379,    393557,    000h 00m 03.379s,    000h 06m 33.557s
117,    3377,    396934,    000h 00m 03.377s,    000h 06m 36.934s
118,    3379,    400313,    000h 00m 03.379s,    000h 06m 40.313s
119,    3381,    403694,    000h 00m 03.381s,    000h 06m 43.694s
120,    3395,    407089,    000h 00m 03.395s,    000h 06m 47.089s
121,    3388,    410477,    000h 00m 03.388s,    000h 06m 50.477s
122,    3413,    413890,    000h 00m 03.413s,    000h 06m 53.890s
123,    3396,    417286,    000h 00m 03.396s,    000h 06m 57.286s
124,    3394,    420680,    000h 00m 03.394s,    000h 07m 00.680s
125,    3390,    424070,    000h 00m 03.390s,    000h 07m 04.070s
126,    3388,    427458,    000h 00m 03.388s,    000h 07m 07.458s
127,    3379,    430837,    000h 00m 03.379s,    000h 07m 10.837s
128,    3385,    434222,    000h 00m 03.385s,    000h 07m 14.222s
129,    3396,    437618,    000h 00m 03.396s,    000h 07m 17.618s
130,    3378,    440996,    000h 00m 03.378s,    000h 07m 20.996s
131,    3381,    444377,    000h 00m 03.381s,    000h 07m 24.377s
132,    3383,    447760,    000h 00m 03.383s,    000h 07m 27.760s
133,    3373,    451133,    000h 00m 03.373s,    000h 07m 31.133s
134,    3373,    454506,    000h 00m 03.373s,    000h 07m 34.506s
135,    3382,    457888,    000h 00m 03.382s,    000h 07m 37.888s
136,    3387,    461275,    000h 00m 03.387s,    000h 07m 41.275s
137,    3401,    464676,    000h 00m 03.401s,    000h 07m 44.676s
138,    3411,    468087,    000h 00m 03.411s,    000h 07m 48.087s
139,    3403,    471490,    000h 00m 03.403s,    000h 07m 51.490s
140,    3367,    474857,    000h 00m 03.367s,    000h 07m 54.857s
141,    3397,    478254,    000h 00m 03.397s,    000h 07m 58.254s
142,    3378,    481632,    000h 00m 03.378s,    000h 08m 01.632s
143,    3380,    485012,    000h 00m 03.380s,    000h 08m 05.012s
144,    3391,    488403,    000h 00m 03.391s,    000h 08m 08.403s
145,    3376,    491779,    000h 00m 03.376s,    000h 08m 11.779s
146,    3377,    495156,    000h 00m 03.377s,    000h 08m 15.156s
147,    3398,    498554,    000h 00m 03.398s,    000h 08m 18.554s
148,    3387,    501941,    000h 00m 03.387s,    000h 08m 21.941s
149,    3381,    505322,    000h 00m 03.381s,    000h 08m 25.322s
150,    3375,    508697,    000h 00m 03.375s,    000h 08m 28.697s
151,    3388,    512085,    000h 00m 03.388s,    000h 08m 32.085s
152,    3387,    515472,    000h 00m 03.387s,    000h 08m 35.472s
153,    3403,    518875,    000h 00m 03.403s,    000h 08m 38.875s
154,    3390,    522265,    000h 00m 03.390s,    000h 08m 42.265s
155,    3388,    525653,    000h 00m 03.388s,    000h 08m 45.653s
156,    3382,    529035,    000h 00m 03.382s,    000h 08m 49.035s
157,    3379,    532414,    000h 00m 03.379s,    000h 08m 52.414s
158,    3372,    535786,    000h 00m 03.372s,    000h 08m 55.786s
159,    3396,    539182,    000h 00m 03.396s,    000h 08m 59.182s
160,    3394,    542576,    000h 00m 03.394s,    000h 09m 02.576s
161,    3382,    545958,    000h 00m 03.382s,    000h 09m 05.958s
162,    3385,    549343,    000h 00m 03.385s,    000h 09m 09.343s
163,    3391,    552734,    000h 00m 03.391s,    000h 09m 12.734s
164,    3390,    556124,    000h 00m 03.390s,    000h 09m 16.124s
165,    3373,    559497,    000h 00m 03.373s,    000h 09m 19.497s
166,    3378,    562875,    000h 00m 03.378s,    000h 09m 22.875s
167,    3385,    566260,    000h 00m 03.385s,    000h 09m 26.260s
168,    3387,    569647,    000h 00m 03.387s,    000h 09m 29.647s
169,    3384,    573031,    000h 00m 03.384s,    000h 09m 33.031s
170,    3394,    576425,    000h 00m 03.394s,    000h 09m 36.425s
171,    3388,    579813,    000h 00m 03.388s,    000h 09m 39.813s
172,    3385,    583198,    000h 00m 03.385s,    000h 09m 43.198s
173,    3383,    586581,    000h 00m 03.383s,    000h 09m 46.581s
174,    3389,    589970,    000h 00m 03.389s,    000h 09m 49.970s
175,    3385,    593355,    000h 00m 03.385s,    000h 09m 53.355s
176,    3392,    596747,    000h 00m 03.392s,    000h 09m 56.747s
177,    3386,    600133,    000h 00m 03.386s,    000h 10m 00.133s
178,    3379,    603512,    000h 00m 03.379s,    000h 10m 03.512s
179,    3375,    606887,    000h 00m 03.375s,    000h 10m 06.887s
180,    3384,    610271,    000h 00m 03.384s,    000h 10m 10.271s
181,    3384,    613655,    000h 00m 03.384s,    000h 10m 13.655s
182,    3385,    617040,    000h 00m 03.385s,    000h 10m 17.040s
183,    3385,    620425,    000h 00m 03.385s,    000h 10m 20.425s
184,    3379,    623804,    000h 00m 03.379s,    000h 10m 23.804s
185,    3376,    627180,    000h 00m 03.376s,    000h 10m 27.180s
186,    3395,    630575,    000h 00m 03.395s,    000h 10m 30.575s
187,    3400,    633975,    000h 00m 03.400s,    000h 10m 33.975s
188,    3391,    637366,    000h 00m 03.391s,    000h 10m 37.366s
189,    3377,    640743,    000h 00m 03.377s,    000h 10m 40.743s
190,    3379,    644122,    000h 00m 03.379s,    000h 10m 44.122s
191,    3386,    647508,    000h 00m 03.386s,    000h 10m 47.508s
192,    3386,    650894,    000h 00m 03.386s,    000h 10m 50.894s
193,    3399,    654293,    000h 00m 03.399s,    000h 10m 54.293s
194,    3403,    657696,    000h 00m 03.403s,    000h 10m 57.696s
195,    3381,    661077,    000h 00m 03.381s,    000h 11m 01.077s
196,    3384,    664461,    000h 00m 03.384s,    000h 11m 04.461s
197,    3383,    667844,    000h 00m 03.383s,    000h 11m 07.844s
198,    3382,    671226,    000h 00m 03.382s,    000h 11m 11.226s
199,    3393,    674619,    000h 00m 03.393s,    000h 11m 14.619s
200,    3386,    678005,    000h 00m 03.386s,    000h 11m 18.005s
