pass,    time (ms),    total time (ms),    time,     total_time
1,    2174,    2174,    000h 00m 02.174s,    000h 00m 02.174s
2,    2055,    4229,    000h 00m 02.055s,    000h 00m 04.229s
3,    2158,    6387,    000h 00m 02.158s,    000h 00m 06.387s
4,    2162,    8549,    000h 00m 02.162s,    000h 00m 08.549s
5,    2212,    10761,    000h 00m 02.212s,    000h 00m 10.761s
6,    2243,    13004,    000h 00m 02.243s,    000h 00m 13.004s
7,    2256,    15260,    000h 00m 02.256s,    000h 00m 15.260s
8,    2224,    17484,    000h 00m 02.224s,    000h 00m 17.484s
9,    2114,    19598,    000h 00m 02.114s,    000h 00m 19.598s
10,    2208,    21806,    000h 00m 02.208s,    000h 00m 21.806s
11,    2103,    23909,    000h 00m 02.103s,    000h 00m 23.909s
12,    2204,    26113,    000h 00m 02.204s,    000h 00m 26.113s
13,    2325,    28438,    000h 00m 02.325s,    000h 00m 28.438s
14,    2165,    30603,    000h 00m 02.165s,    000h 00m 30.603s
15,    2136,    32739,    000h 00m 02.136s,    000h 00m 32.739s
16,    2059,    34798,    000h 00m 02.059s,    000h 00m 34.798s
17,    2203,    37001,    000h 00m 02.203s,    000h 00m 37.001s
18,    2223,    39224,    000h 00m 02.223s,    000h 00m 39.224s
19,    2144,    41368,    000h 00m 02.144s,    000h 00m 41.368s
20,    2027,    43395,    000h 00m 02.027s,    000h 00m 43.395s
21,    2128,    45523,    000h 00m 02.128s,    000h 00m 45.523s
22,    2157,    47680,    000h 00m 02.157s,    000h 00m 47.680s
23,    2159,    49839,    000h 00m 02.159s,    000h 00m 49.839s
24,    2159,    51998,    000h 00m 02.159s,    000h 00m 51.998s
25,    2178,    54176,    000h 00m 02.178s,    000h 00m 54.176s
26,    2165,    56341,    000h 00m 02.165s,    000h 00m 56.341s
27,    2206,    58547,    000h 00m 02.206s,    000h 00m 58.547s
28,    2179,    60726,    000h 00m 02.179s,    000h 01m 00.726s
29,    2237,    62963,    000h 00m 02.237s,    000h 01m 02.963s
30,    2145,    65108,    000h 00m 02.145s,    000h 01m 05.108s
31,    2206,    67314,    000h 00m 02.206s,    000h 01m 07.314s
32,    2067,    69381,    000h 00m 02.067s,    000h 01m 09.381s
33,    2195,    71576,    000h 00m 02.195s,    000h 01m 11.576s
34,    2074,    73650,    000h 00m 02.074s,    000h 01m 13.650s
35,    2219,    75869,    000h 00m 02.219s,    000h 01m 15.869s
36,    2220,    78089,    000h 00m 02.220s,    000h 01m 18.089s
37,    2268,    80357,    000h 00m 02.268s,    000h 01m 20.357s
38,    2219,    82576,    000h 00m 02.219s,    000h 01m 22.576s
39,    2202,    84778,    000h 00m 02.202s,    000h 01m 24.778s
40,    2144,    86922,    000h 00m 02.144s,    000h 01m 26.922s
41,    2276,    89198,    000h 00m 02.276s,    000h 01m 29.198s
42,    2116,    91314,    000h 00m 02.116s,    000h 01m 31.314s
43,    2135,    93449,    000h 00m 02.135s,    000h 01m 33.449s
44,    2204,    95653,    000h 00m 02.204s,    000h 01m 35.653s
45,    2124,    97777,    000h 00m 02.124s,    000h 01m 37.777s
46,    2086,    99863,    000h 00m 02.086s,    000h 01m 39.863s
47,    2143,    102006,    000h 00m 02.143s,    000h 01m 42.006s
48,    2234,    104240,    000h 00m 02.234s,    000h 01m 44.240s
49,    2265,    106505,    000h 00m 02.265s,    000h 01m 46.505s
50,    2410,    108915,    000h 00m 02.410s,    000h 01m 48.915s
51,    2502,    111417,    000h 00m 02.502s,    000h 01m 51.417s
52,    2187,    113604,    000h 00m 02.187s,    000h 01m 53.604s
53,    2266,    115870,    000h 00m 02.266s,    000h 01m 55.870s
54,    2215,    118085,    000h 00m 02.215s,    000h 01m 58.085s
55,    2292,    120377,    000h 00m 02.292s,    000h 02m 00.377s
56,    2211,    122588,    000h 00m 02.211s,    000h 02m 02.588s
57,    2210,    124798,    000h 00m 02.210s,    000h 02m 04.798s
58,    2107,    126905,    000h 00m 02.107s,    000h 02m 06.905s
59,    2221,    129126,    000h 00m 02.221s,    000h 02m 09.126s
60,    2204,    131330,    000h 00m 02.204s,    000h 02m 11.330s
61,    2216,    133546,    000h 00m 02.216s,    000h 02m 13.546s
