pass,    time (ms),    total time (ms),    time,     total_time
1,    2377,    2377,    000h 00m 02.377s,    000h 00m 02.377s
2,    2129,    4506,    000h 00m 02.129s,    000h 00m 04.506s
3,    2279,    6785,    000h 00m 02.279s,    000h 00m 06.785s
4,    1984,    8769,    000h 00m 01.984s,    000h 00m 08.769s
5,    2130,    10899,    000h 00m 02.130s,    000h 00m 10.899s
6,    2353,    13252,    000h 00m 02.353s,    000h 00m 13.252s
7,    2173,    15425,    000h 00m 02.173s,    000h 00m 15.425s
8,    2532,    17957,    000h 00m 02.532s,    000h 00m 17.957s
9,    3794,    21751,    000h 00m 03.794s,    000h 00m 21.751s
10,    4656,    26407,    000h 00m 04.656s,    000h 00m 26.407s
11,    4455,    30862,    000h 00m 04.455s,    000h 00m 30.862s
12,    4128,    34990,    000h 00m 04.128s,    000h 00m 34.990s
13,    4269,    39259,    000h 00m 04.269s,    000h 00m 39.259s
14,    4691,    43950,    000h 00m 04.691s,    000h 00m 43.950s
15,    4290,    48240,    000h 00m 04.290s,    000h 00m 48.240s
16,    3228,    51468,    000h 00m 03.228s,    000h 00m 51.468s
17,    4371,    55839,    000h 00m 04.371s,    000h 00m 55.839s
18,    4494,    60333,    000h 00m 04.494s,    000h 01m 00.333s
19,    4034,    64367,    000h 00m 04.034s,    000h 01m 04.367s
20,    4725,    69092,    000h 00m 04.725s,    000h 01m 09.092s
21,    4632,    73724,    000h 00m 04.632s,    000h 01m 13.724s
22,    4557,    78281,    000h 00m 04.557s,    000h 01m 18.281s
23,    4501,    82782,    000h 00m 04.501s,    000h 01m 22.782s
24,    4532,    87314,    000h 00m 04.532s,    000h 01m 27.314s
25,    4520,    91834,    000h 00m 04.520s,    000h 01m 31.834s
26,    4154,    95988,    000h 00m 04.154s,    000h 01m 35.988s
27,    4175,    100163,    000h 00m 04.175s,    000h 01m 40.163s
28,    4734,    104897,    000h 00m 04.734s,    000h 01m 44.897s
29,    4260,    109157,    000h 00m 04.260s,    000h 01m 49.157s
30,    3394,    112551,    000h 00m 03.394s,    000h 01m 52.551s
31,    4632,    117183,    000h 00m 04.632s,    000h 01m 57.183s
32,    4375,    121558,    000h 00m 04.375s,    000h 02m 01.558s
33,    4789,    126347,    000h 00m 04.789s,    000h 02m 06.347s
34,    3545,    129892,    000h 00m 03.545s,    000h 02m 09.892s
35,    4199,    134091,    000h 00m 04.199s,    000h 02m 14.091s
36,    4184,    138275,    000h 00m 04.184s,    000h 02m 18.275s
37,    4177,    142452,    000h 00m 04.177s,    000h 02m 22.452s
38,    4071,    146523,    000h 00m 04.071s,    000h 02m 26.523s
39,    4068,    150591,    000h 00m 04.068s,    000h 02m 30.591s
40,    4441,    155032,    000h 00m 04.441s,    000h 02m 35.032s
41,    4461,    159493,    000h 00m 04.461s,    000h 02m 39.493s
42,    4300,    163793,    000h 00m 04.300s,    000h 02m 43.793s
43,    4514,    168307,    000h 00m 04.514s,    000h 02m 48.307s
44,    4284,    172591,    000h 00m 04.284s,    000h 02m 52.591s
45,    4596,    177187,    000h 00m 04.596s,    000h 02m 57.187s
46,    4641,    181828,    000h 00m 04.641s,    000h 03m 01.828s
47,    4616,    186444,    000h 00m 04.616s,    000h 03m 06.444s
48,    4319,    190763,    000h 00m 04.319s,    000h 03m 10.763s
49,    4229,    194992,    000h 00m 04.229s,    000h 03m 14.992s
50,    4664,    199656,    000h 00m 04.664s,    000h 03m 19.656s
51,    4799,    204455,    000h 00m 04.799s,    000h 03m 24.455s
52,    4052,    208507,    000h 00m 04.052s,    000h 03m 28.507s
53,    4661,    213168,    000h 00m 04.661s,    000h 03m 33.168s
54,    4692,    217860,    000h 00m 04.692s,    000h 03m 37.860s
55,    4212,    222072,    000h 00m 04.212s,    000h 03m 42.072s
56,    4588,    226660,    000h 00m 04.588s,    000h 03m 46.660s
57,    4509,    231169,    000h 00m 04.509s,    000h 03m 51.169s
58,    4223,    235392,    000h 00m 04.223s,    000h 03m 55.392s
