pass,    time (ms),    total time (ms),    time,     total_time
1,    1898,    1898,    000h 00m 01.898s,    000h 00m 01.898s
2,    1929,    3827,    000h 00m 01.929s,    000h 00m 03.827s
3,    2150,    5977,    000h 00m 02.150s,    000h 00m 05.977s
4,    2077,    8054,    000h 00m 02.077s,    000h 00m 08.054s
5,    2218,    10272,    000h 00m 02.218s,    000h 00m 10.272s
6,    2196,    12468,    000h 00m 02.196s,    000h 00m 12.468s
7,    2162,    14630,    000h 00m 02.162s,    000h 00m 14.630s
8,    2041,    16671,    000h 00m 02.041s,    000h 00m 16.671s
9,    2345,    19016,    000h 00m 02.345s,    000h 00m 19.016s
10,    2196,    21212,    000h 00m 02.196s,    000h 00m 21.212s
11,    2076,    23288,    000h 00m 02.076s,    000h 00m 23.288s
12,    2376,    25664,    000h 00m 02.376s,    000h 00m 25.664s
13,    2229,    27893,    000h 00m 02.229s,    000h 00m 27.893s
14,    2056,    29949,    000h 00m 02.056s,    000h 00m 29.949s
15,    1865,    31814,    000h 00m 01.865s,    000h 00m 31.814s
16,    1904,    33718,    000h 00m 01.904s,    000h 00m 33.718s
17,    2245,    35963,    000h 00m 02.245s,    000h 00m 35.963s
18,    2213,    38176,    000h 00m 02.213s,    000h 00m 38.176s
19,    1924,    40100,    000h 00m 01.924s,    000h 00m 40.100s
20,    2560,    42660,    000h 00m 02.560s,    000h 00m 42.660s
21,    3952,    46612,    000h 00m 03.952s,    000h 00m 46.612s
22,    4317,    50929,    000h 00m 04.317s,    000h 00m 50.929s
23,    3845,    54774,    000h 00m 03.845s,    000h 00m 54.774s
24,    3950,    58724,    000h 00m 03.950s,    000h 00m 58.724s
25,    4017,    62741,    000h 00m 04.017s,    000h 01m 02.741s
26,    4397,    67138,    000h 00m 04.397s,    000h 01m 07.138s
27,    4407,    71545,    000h 00m 04.407s,    000h 01m 11.545s
28,    4059,    75604,    000h 00m 04.059s,    000h 01m 15.604s
29,    4318,    79922,    000h 00m 04.318s,    000h 01m 19.922s
30,    3925,    83847,    000h 00m 03.925s,    000h 01m 23.847s
31,    4379,    88226,    000h 00m 04.379s,    000h 01m 28.226s
32,    3834,    92060,    000h 00m 03.834s,    000h 01m 32.060s
33,    4398,    96458,    000h 00m 04.398s,    000h 01m 36.458s
34,    3702,    100160,    000h 00m 03.702s,    000h 01m 40.160s
35,    4536,    104696,    000h 00m 04.536s,    000h 01m 44.696s
36,    4472,    109168,    000h 00m 04.472s,    000h 01m 49.168s
37,    4226,    113394,    000h 00m 04.226s,    000h 01m 53.394s
38,    3777,    117171,    000h 00m 03.777s,    000h 01m 57.171s
39,    4411,    121582,    000h 00m 04.411s,    000h 02m 01.582s
40,    4195,    125777,    000h 00m 04.195s,    000h 02m 05.777s
41,    4388,    130165,    000h 00m 04.388s,    000h 02m 10.165s
42,    4485,    134650,    000h 00m 04.485s,    000h 02m 14.650s
43,    4627,    139277,    000h 00m 04.627s,    000h 02m 19.277s
44,    4320,    143597,    000h 00m 04.320s,    000h 02m 23.597s
45,    3955,    147552,    000h 00m 03.955s,    000h 02m 27.552s
46,    3867,    151419,    000h 00m 03.867s,    000h 02m 31.419s
47,    4129,    155548,    000h 00m 04.129s,    000h 02m 35.548s
48,    4143,    159691,    000h 00m 04.143s,    000h 02m 39.691s
49,    4550,    164241,    000h 00m 04.550s,    000h 02m 44.241s
50,    4670,    168911,    000h 00m 04.670s,    000h 02m 48.911s
51,    4589,    173500,    000h 00m 04.589s,    000h 02m 53.500s
52,    3525,    177025,    000h 00m 03.525s,    000h 02m 57.025s
53,    4506,    181531,    000h 00m 04.506s,    000h 03m 01.531s
54,    4026,    185557,    000h 00m 04.026s,    000h 03m 05.557s
