pass,    time (ms),    total time (ms),    time,     total_time
1,    1626,    1626,    000h 00m 01.626s,    000h 00m 01.626s
2,    1797,    3423,    000h 00m 01.797s,    000h 00m 03.423s
3,    1792,    5215,    000h 00m 01.792s,    000h 00m 05.215s
4,    1835,    7050,    000h 00m 01.835s,    000h 00m 07.050s
5,    1733,    8783,    000h 00m 01.733s,    000h 00m 08.783s
6,    1726,    10509,    000h 00m 01.726s,    000h 00m 10.509s
7,    1751,    12260,    000h 00m 01.751s,    000h 00m 12.260s
8,    1711,    13971,    000h 00m 01.711s,    000h 00m 13.971s
9,    1724,    15695,    000h 00m 01.724s,    000h 00m 15.695s
10,    1738,    17433,    000h 00m 01.738s,    000h 00m 17.433s
11,    1723,    19156,    000h 00m 01.723s,    000h 00m 19.156s
12,    1797,    20953,    000h 00m 01.797s,    000h 00m 20.953s
13,    1736,    22689,    000h 00m 01.736s,    000h 00m 22.689s
14,    1754,    24443,    000h 00m 01.754s,    000h 00m 24.443s
15,    1687,    26130,    000h 00m 01.687s,    000h 00m 26.130s
16,    1756,    27886,    000h 00m 01.756s,    000h 00m 27.886s
17,    1733,    29619,    000h 00m 01.733s,    000h 00m 29.619s
18,    1741,    31360,    000h 00m 01.741s,    000h 00m 31.360s
19,    1656,    33016,    000h 00m 01.656s,    000h 00m 33.016s
20,    1749,    34765,    000h 00m 01.749s,    000h 00m 34.765s
21,    1762,    36527,    000h 00m 01.762s,    000h 00m 36.527s
22,    1760,    38287,    000h 00m 01.760s,    000h 00m 38.287s
23,    1740,    40027,    000h 00m 01.740s,    000h 00m 40.027s
24,    1756,    41783,    000h 00m 01.756s,    000h 00m 41.783s
25,    1762,    43545,    000h 00m 01.762s,    000h 00m 43.545s
26,    1750,    45295,    000h 00m 01.750s,    000h 00m 45.295s
27,    1743,    47038,    000h 00m 01.743s,    000h 00m 47.038s
28,    1707,    48745,    000h 00m 01.707s,    000h 00m 48.745s
29,    1633,    50378,    000h 00m 01.633s,    000h 00m 50.378s
30,    1758,    52136,    000h 00m 01.758s,    000h 00m 52.136s
31,    1659,    53795,    000h 00m 01.659s,    000h 00m 53.795s
32,    1750,    55545,    000h 00m 01.750s,    000h 00m 55.545s
33,    1691,    57236,    000h 00m 01.691s,    000h 00m 57.236s
34,    1697,    58933,    000h 00m 01.697s,    000h 00m 58.933s
35,    1714,    60647,    000h 00m 01.714s,    000h 01m 00.647s
36,    1605,    62252,    000h 00m 01.605s,    000h 01m 02.252s
37,    1693,    63945,    000h 00m 01.693s,    000h 01m 03.945s
38,    1734,    65679,    000h 00m 01.734s,    000h 01m 05.679s
39,    1756,    67435,    000h 00m 01.756s,    000h 01m 07.435s
40,    1721,    69156,    000h 00m 01.721s,    000h 01m 09.156s
41,    1744,    70900,    000h 00m 01.744s,    000h 01m 10.900s
42,    1713,    72613,    000h 00m 01.713s,    000h 01m 12.613s
43,    1682,    74295,    000h 00m 01.682s,    000h 01m 14.295s
44,    1700,    75995,    000h 00m 01.700s,    000h 01m 15.995s
45,    1709,    77704,    000h 00m 01.709s,    000h 01m 17.704s
46,    1747,    79451,    000h 00m 01.747s,    000h 01m 19.451s
47,    1721,    81172,    000h 00m 01.721s,    000h 01m 21.172s
48,    1758,    82930,    000h 00m 01.758s,    000h 01m 22.930s
49,    1691,    84621,    000h 00m 01.691s,    000h 01m 24.621s
50,    1751,    86372,    000h 00m 01.751s,    000h 01m 26.372s
51,    1751,    88123,    000h 00m 01.751s,    000h 01m 28.123s
52,    1746,    89869,    000h 00m 01.746s,    000h 01m 29.869s
53,    1718,    91587,    000h 00m 01.718s,    000h 01m 31.587s
54,    1688,    93275,    000h 00m 01.688s,    000h 01m 33.275s
55,    1673,    94948,    000h 00m 01.673s,    000h 01m 34.948s
56,    1776,    96724,    000h 00m 01.776s,    000h 01m 36.724s
57,    1765,    98489,    000h 00m 01.765s,    000h 01m 38.489s
58,    1726,    100215,    000h 00m 01.726s,    000h 01m 40.215s
59,    1796,    102011,    000h 00m 01.796s,    000h 01m 42.011s
60,    1707,    103718,    000h 00m 01.707s,    000h 01m 43.718s
61,    1755,    105473,    000h 00m 01.755s,    000h 01m 45.473s
62,    1700,    107173,    000h 00m 01.700s,    000h 01m 47.173s
63,    1749,    108922,    000h 00m 01.749s,    000h 01m 48.922s
64,    1736,    110658,    000h 00m 01.736s,    000h 01m 50.658s
65,    1733,    112391,    000h 00m 01.733s,    000h 01m 52.391s
66,    1775,    114166,    000h 00m 01.775s,    000h 01m 54.166s
67,    1772,    115938,    000h 00m 01.772s,    000h 01m 55.938s
68,    1756,    117694,    000h 00m 01.756s,    000h 01m 57.694s
69,    1724,    119418,    000h 00m 01.724s,    000h 01m 59.418s
70,    1754,    121172,    000h 00m 01.754s,    000h 02m 01.172s
71,    1771,    122943,    000h 00m 01.771s,    000h 02m 02.943s
72,    1706,    124649,    000h 00m 01.706s,    000h 02m 04.649s
73,    1732,    126381,    000h 00m 01.732s,    000h 02m 06.381s
74,    1725,    128106,    000h 00m 01.725s,    000h 02m 08.106s
75,    1792,    129898,    000h 00m 01.792s,    000h 02m 09.898s
76,    1721,    131619,    000h 00m 01.721s,    000h 02m 11.619s
77,    1750,    133369,    000h 00m 01.750s,    000h 02m 13.369s
78,    1743,    135112,    000h 00m 01.743s,    000h 02m 15.112s
79,    1749,    136861,    000h 00m 01.749s,    000h 02m 16.861s
80,    1735,    138596,    000h 00m 01.735s,    000h 02m 18.596s
81,    1770,    140366,    000h 00m 01.770s,    000h 02m 20.366s
82,    1647,    142013,    000h 00m 01.647s,    000h 02m 22.013s
83,    1720,    143733,    000h 00m 01.720s,    000h 02m 23.733s
84,    1772,    145505,    000h 00m 01.772s,    000h 02m 25.505s
85,    1636,    147141,    000h 00m 01.636s,    000h 02m 27.141s
86,    1640,    148781,    000h 00m 01.640s,    000h 02m 28.781s
