pass,    time (ms),    total time (ms),    time,     total_time
1,    1717,    1717,    000h 00m 01.717s,    000h 00m 01.717s
2,    1812,    3529,    000h 00m 01.812s,    000h 00m 03.529s
3,    1726,    5255,    000h 00m 01.726s,    000h 00m 05.255s
4,    1764,    7019,    000h 00m 01.764s,    000h 00m 07.019s
5,    1606,    8625,    000h 00m 01.606s,    000h 00m 08.625s
6,    1704,    10329,    000h 00m 01.704s,    000h 00m 10.329s
7,    1751,    12080,    000h 00m 01.751s,    000h 00m 12.080s
8,    1305,    13385,    000h 00m 01.305s,    000h 00m 13.385s
9,    1676,    15061,    000h 00m 01.676s,    000h 00m 15.061s
10,    1749,    16810,    000h 00m 01.749s,    000h 00m 16.810s
11,    1625,    18435,    000h 00m 01.625s,    000h 00m 18.435s
12,    1632,    20067,    000h 00m 01.632s,    000h 00m 20.067s
13,    1531,    21598,    000h 00m 01.531s,    000h 00m 21.598s
14,    1711,    23309,    000h 00m 01.711s,    000h 00m 23.309s
15,    1734,    25043,    000h 00m 01.734s,    000h 00m 25.043s
16,    1574,    26617,    000h 00m 01.574s,    000h 00m 26.617s
17,    1586,    28203,    000h 00m 01.586s,    000h 00m 28.203s
18,    1370,    29573,    000h 00m 01.370s,    000h 00m 29.573s
19,    1751,    31324,    000h 00m 01.751s,    000h 00m 31.324s
20,    1615,    32939,    000h 00m 01.615s,    000h 00m 32.939s
21,    1587,    34526,    000h 00m 01.587s,    000h 00m 34.526s
22,    1661,    36187,    000h 00m 01.661s,    000h 00m 36.187s
23,    1711,    37898,    000h 00m 01.711s,    000h 00m 37.898s
24,    1720,    39618,    000h 00m 01.720s,    000h 00m 39.618s
25,    1711,    41329,    000h 00m 01.711s,    000h 00m 41.329s
26,    1672,    43001,    000h 00m 01.672s,    000h 00m 43.001s
27,    1620,    44621,    000h 00m 01.620s,    000h 00m 44.621s
28,    1340,    45961,    000h 00m 01.340s,    000h 00m 45.961s
29,    1630,    47591,    000h 00m 01.630s,    000h 00m 47.591s
30,    1687,    49278,    000h 00m 01.687s,    000h 00m 49.278s
31,    1726,    51004,    000h 00m 01.726s,    000h 00m 51.004s
32,    1489,    52493,    000h 00m 01.489s,    000h 00m 52.493s
33,    1750,    54243,    000h 00m 01.750s,    000h 00m 54.243s
34,    1543,    55786,    000h 00m 01.543s,    000h 00m 55.786s
35,    1561,    57347,    000h 00m 01.561s,    000h 00m 57.347s
36,    1683,    59030,    000h 00m 01.683s,    000h 00m 59.030s
37,    1541,    60571,    000h 00m 01.541s,    000h 01m 00.571s
38,    1688,    62259,    000h 00m 01.688s,    000h 01m 02.259s
39,    1688,    63947,    000h 00m 01.688s,    000h 01m 03.947s
40,    1769,    65716,    000h 00m 01.769s,    000h 01m 05.716s
41,    1747,    67463,    000h 00m 01.747s,    000h 01m 07.463s
42,    1601,    69064,    000h 00m 01.601s,    000h 01m 09.064s
43,    1610,    70674,    000h 00m 01.610s,    000h 01m 10.674s
44,    1568,    72242,    000h 00m 01.568s,    000h 01m 12.242s
45,    1376,    73618,    000h 00m 01.376s,    000h 01m 13.618s
46,    1536,    75154,    000h 00m 01.536s,    000h 01m 15.154s
47,    1713,    76867,    000h 00m 01.713s,    000h 01m 16.867s
48,    1558,    78425,    000h 00m 01.558s,    000h 01m 18.425s
49,    1570,    79995,    000h 00m 01.570s,    000h 01m 19.995s
50,    1717,    81712,    000h 00m 01.717s,    000h 01m 21.712s
51,    1743,    83455,    000h 00m 01.743s,    000h 01m 23.455s
52,    1675,    85130,    000h 00m 01.675s,    000h 01m 25.130s
53,    1711,    86841,    000h 00m 01.711s,    000h 01m 26.841s
54,    1584,    88425,    000h 00m 01.584s,    000h 01m 28.425s
55,    1606,    90031,    000h 00m 01.606s,    000h 01m 30.031s
56,    1666,    91697,    000h 00m 01.666s,    000h 01m 31.697s
57,    1563,    93260,    000h 00m 01.563s,    000h 01m 33.260s
58,    1675,    94935,    000h 00m 01.675s,    000h 01m 34.935s
59,    1584,    96519,    000h 00m 01.584s,    000h 01m 36.519s
60,    1731,    98250,    000h 00m 01.731s,    000h 01m 38.250s
61,    1708,    99958,    000h 00m 01.708s,    000h 01m 39.958s
62,    1724,    101682,    000h 00m 01.724s,    000h 01m 41.682s
63,    1731,    103413,    000h 00m 01.731s,    000h 01m 43.413s
64,    1737,    105150,    000h 00m 01.737s,    000h 01m 45.150s
65,    1680,    106830,    000h 00m 01.680s,    000h 01m 46.830s
66,    1721,    108551,    000h 00m 01.721s,    000h 01m 48.551s
67,    1578,    110129,    000h 00m 01.578s,    000h 01m 50.129s
68,    1544,    111673,    000h 00m 01.544s,    000h 01m 51.673s
69,    1627,    113300,    000h 00m 01.627s,    000h 01m 53.300s
70,    1647,    114947,    000h 00m 01.647s,    000h 01m 54.947s
71,    1741,    116688,    000h 00m 01.741s,    000h 01m 56.688s
72,    1723,    118411,    000h 00m 01.723s,    000h 01m 58.411s
73,    1745,    120156,    000h 00m 01.745s,    000h 02m 00.156s
74,    1602,    121758,    000h 00m 01.602s,    000h 02m 01.758s
75,    1679,    123437,    000h 00m 01.679s,    000h 02m 03.437s
76,    1751,    125188,    000h 00m 01.751s,    000h 02m 05.188s
77,    1545,    126733,    000h 00m 01.545s,    000h 02m 06.733s
78,    1718,    128451,    000h 00m 01.718s,    000h 02m 08.451s
79,    1711,    130162,    000h 00m 01.711s,    000h 02m 10.162s
80,    1678,    131840,    000h 00m 01.678s,    000h 02m 11.840s
81,    1733,    133573,    000h 00m 01.733s,    000h 02m 13.573s
82,    1548,    135121,    000h 00m 01.548s,    000h 02m 15.121s
83,    1572,    136693,    000h 00m 01.572s,    000h 02m 16.693s
84,    1736,    138429,    000h 00m 01.736s,    000h 02m 18.429s
85,    1685,    140114,    000h 00m 01.685s,    000h 02m 20.114s
86,    1674,    141788,    000h 00m 01.674s,    000h 02m 21.788s
87,    1724,    143512,    000h 00m 01.724s,    000h 02m 23.512s
88,    1737,    145249,    000h 00m 01.737s,    000h 02m 25.249s
89,    1792,    147041,    000h 00m 01.792s,    000h 02m 27.041s
90,    1557,    148598,    000h 00m 01.557s,    000h 02m 28.598s
91,    1601,    150199,    000h 00m 01.601s,    000h 02m 30.199s
92,    1563,    151762,    000h 00m 01.563s,    000h 02m 31.762s
93,    1626,    153388,    000h 00m 01.626s,    000h 02m 33.388s
94,    1629,    155017,    000h 00m 01.629s,    000h 02m 35.017s
95,    1705,    156722,    000h 00m 01.705s,    000h 02m 36.722s
96,    1756,    158478,    000h 00m 01.756s,    000h 02m 38.478s
97,    1540,    160018,    000h 00m 01.540s,    000h 02m 40.018s
98,    1659,    161677,    000h 00m 01.659s,    000h 02m 41.677s
99,    1569,    163246,    000h 00m 01.569s,    000h 02m 43.246s
100,    1657,    164903,    000h 00m 01.657s,    000h 02m 44.903s
101,    1728,    166631,    000h 00m 01.728s,    000h 02m 46.631s
102,    1643,    168274,    000h 00m 01.643s,    000h 02m 48.274s
103,    1458,    169732,    000h 00m 01.458s,    000h 02m 49.732s
104,    1592,    171324,    000h 00m 01.592s,    000h 02m 51.324s
105,    1735,    173059,    000h 00m 01.735s,    000h 02m 53.059s
106,    1751,    174810,    000h 00m 01.751s,    000h 02m 54.810s
107,    1678,    176488,    000h 00m 01.678s,    000h 02m 56.488s
108,    1759,    178247,    000h 00m 01.759s,    000h 02m 58.247s
109,    1707,    179954,    000h 00m 01.707s,    000h 02m 59.954s
110,    1754,    181708,    000h 00m 01.754s,    000h 03m 01.708s
111,    1641,    183349,    000h 00m 01.641s,    000h 03m 03.349s
112,    1745,    185094,    000h 00m 01.745s,    000h 03m 05.094s
113,    1728,    186822,    000h 00m 01.728s,    000h 03m 06.822s
114,    1723,    188545,    000h 00m 01.723s,    000h 03m 08.545s
115,    1551,    190096,    000h 00m 01.551s,    000h 03m 10.096s
116,    1658,    191754,    000h 00m 01.658s,    000h 03m 11.754s
117,    1719,    193473,    000h 00m 01.719s,    000h 03m 13.473s
118,    1736,    195209,    000h 00m 01.736s,    000h 03m 15.209s
119,    1623,    196832,    000h 00m 01.623s,    000h 03m 16.832s
120,    1690,    198522,    000h 00m 01.690s,    000h 03m 18.522s
121,    1573,    200095,    000h 00m 01.573s,    000h 03m 20.095s
122,    1551,    201646,    000h 00m 01.551s,    000h 03m 21.646s
123,    1584,    203230,    000h 00m 01.584s,    000h 03m 23.230s
124,    1563,    204793,    000h 00m 01.563s,    000h 03m 24.793s
125,    1661,    206454,    000h 00m 01.661s,    000h 03m 26.454s
126,    1660,    208114,    000h 00m 01.660s,    000h 03m 28.114s
127,    1622,    209736,    000h 00m 01.622s,    000h 03m 29.736s
128,    1572,    211308,    000h 00m 01.572s,    000h 03m 31.308s
129,    1751,    213059,    000h 00m 01.751s,    000h 03m 33.059s
130,    1647,    214706,    000h 00m 01.647s,    000h 03m 34.706s
131,    1743,    216449,    000h 00m 01.743s,    000h 03m 36.449s
132,    1575,    218024,    000h 00m 01.575s,    000h 03m 38.024s
133,    1573,    219597,    000h 00m 01.573s,    000h 03m 39.597s
134,    1580,    221177,    000h 00m 01.580s,    000h 03m 41.177s
135,    1618,    222795,    000h 00m 01.618s,    000h 03m 42.795s
136,    1702,    224497,    000h 00m 01.702s,    000h 03m 44.497s
137,    1588,    226085,    000h 00m 01.588s,    000h 03m 46.085s
138,    1672,    227757,    000h 00m 01.672s,    000h 03m 47.757s
139,    1618,    229375,    000h 00m 01.618s,    000h 03m 49.375s
140,    1740,    231115,    000h 00m 01.740s,    000h 03m 51.115s
141,    1760,    232875,    000h 00m 01.760s,    000h 03m 52.875s
142,    1563,    234438,    000h 00m 01.563s,    000h 03m 54.438s
143,    1727,    236165,    000h 00m 01.727s,    000h 03m 56.165s
144,    1759,    237924,    000h 00m 01.759s,    000h 03m 57.924s
145,    1643,    239567,    000h 00m 01.643s,    000h 03m 59.567s
146,    1664,    241231,    000h 00m 01.664s,    000h 04m 01.231s
147,    1707,    242938,    000h 00m 01.707s,    000h 04m 02.938s
148,    1685,    244623,    000h 00m 01.685s,    000h 04m 04.623s
149,    1768,    246391,    000h 00m 01.768s,    000h 04m 06.391s
150,    1550,    247941,    000h 00m 01.550s,    000h 04m 07.941s
151,    1755,    249696,    000h 00m 01.755s,    000h 04m 09.696s
152,    1658,    251354,    000h 00m 01.658s,    000h 04m 11.354s
153,    1599,    252953,    000h 00m 01.599s,    000h 04m 12.953s
154,    1705,    254658,    000h 00m 01.705s,    000h 04m 14.658s
155,    1539,    256197,    000h 00m 01.539s,    000h 04m 16.197s
156,    1707,    257904,    000h 00m 01.707s,    000h 04m 17.904s
157,    1607,    259511,    000h 00m 01.607s,    000h 04m 19.511s
158,    1513,    261024,    000h 00m 01.513s,    000h 04m 21.024s
159,    1770,    262794,    000h 00m 01.770s,    000h 04m 22.794s
160,    1675,    264469,    000h 00m 01.675s,    000h 04m 24.469s
161,    1735,    266204,    000h 00m 01.735s,    000h 04m 26.204s
162,    1586,    267790,    000h 00m 01.586s,    000h 04m 27.790s
163,    1598,    269388,    000h 00m 01.598s,    000h 04m 29.388s
164,    1559,    270947,    000h 00m 01.559s,    000h 04m 30.947s
