pass,    time (ms),    total time (ms),    time,     total_time
1,    1655,    1655,    000h 00m 01.655s,    000h 00m 01.655s
2,    1706,    3361,    000h 00m 01.706s,    000h 00m 03.361s
3,    1678,    5039,    000h 00m 01.678s,    000h 00m 05.039s
4,    1626,    6665,    000h 00m 01.626s,    000h 00m 06.665s
5,    1648,    8313,    000h 00m 01.648s,    000h 00m 08.313s
6,    1735,    10048,    000h 00m 01.735s,    000h 00m 10.048s
7,    1713,    11761,    000h 00m 01.713s,    000h 00m 11.761s
8,    1677,    13438,    000h 00m 01.677s,    000h 00m 13.438s
9,    1717,    15155,    000h 00m 01.717s,    000h 00m 15.155s
10,    1731,    16886,    000h 00m 01.731s,    000h 00m 16.886s
11,    1662,    18548,    000h 00m 01.662s,    000h 00m 18.548s
12,    1709,    20257,    000h 00m 01.709s,    000h 00m 20.257s
13,    1708,    21965,    000h 00m 01.708s,    000h 00m 21.965s
14,    1646,    23611,    000h 00m 01.646s,    000h 00m 23.611s
15,    1617,    25228,    000h 00m 01.617s,    000h 00m 25.228s
16,    1749,    26977,    000h 00m 01.749s,    000h 00m 26.977s
17,    1662,    28639,    000h 00m 01.662s,    000h 00m 28.639s
18,    1660,    30299,    000h 00m 01.660s,    000h 00m 30.299s
19,    1664,    31963,    000h 00m 01.664s,    000h 00m 31.963s
20,    1666,    33629,    000h 00m 01.666s,    000h 00m 33.629s
21,    1755,    35384,    000h 00m 01.755s,    000h 00m 35.384s
22,    1747,    37131,    000h 00m 01.747s,    000h 00m 37.131s
23,    1573,    38704,    000h 00m 01.573s,    000h 00m 38.704s
24,    1735,    40439,    000h 00m 01.735s,    000h 00m 40.439s
25,    1745,    42184,    000h 00m 01.745s,    000h 00m 42.184s
26,    1655,    43839,    000h 00m 01.655s,    000h 00m 43.839s
27,    1736,    45575,    000h 00m 01.736s,    000h 00m 45.575s
28,    1605,    47180,    000h 00m 01.605s,    000h 00m 47.180s
29,    1726,    48906,    000h 00m 01.726s,    000h 00m 48.906s
30,    1626,    50532,    000h 00m 01.626s,    000h 00m 50.532s
31,    1714,    52246,    000h 00m 01.714s,    000h 00m 52.246s
32,    1725,    53971,    000h 00m 01.725s,    000h 00m 53.971s
33,    1726,    55697,    000h 00m 01.726s,    000h 00m 55.697s
34,    1643,    57340,    000h 00m 01.643s,    000h 00m 57.340s
35,    1569,    58909,    000h 00m 01.569s,    000h 00m 58.909s
36,    1718,    60627,    000h 00m 01.718s,    000h 01m 00.627s
37,    1719,    62346,    000h 00m 01.719s,    000h 01m 02.346s
38,    1608,    63954,    000h 00m 01.608s,    000h 01m 03.954s
39,    1631,    65585,    000h 00m 01.631s,    000h 01m 05.585s
40,    1589,    67174,    000h 00m 01.589s,    000h 01m 07.174s
41,    1731,    68905,    000h 00m 01.731s,    000h 01m 08.905s
42,    1724,    70629,    000h 00m 01.724s,    000h 01m 10.629s
43,    1704,    72333,    000h 00m 01.704s,    000h 01m 12.333s
44,    1747,    74080,    000h 00m 01.747s,    000h 01m 14.080s
45,    1714,    75794,    000h 00m 01.714s,    000h 01m 15.794s
46,    1733,    77527,    000h 00m 01.733s,    000h 01m 17.527s
47,    1719,    79246,    000h 00m 01.719s,    000h 01m 19.246s
48,    1526,    80772,    000h 00m 01.526s,    000h 01m 20.772s
49,    1595,    82367,    000h 00m 01.595s,    000h 01m 22.367s
50,    1733,    84100,    000h 00m 01.733s,    000h 01m 24.100s
51,    1756,    85856,    000h 00m 01.756s,    000h 01m 25.856s
52,    1715,    87571,    000h 00m 01.715s,    000h 01m 27.571s
53,    1643,    89214,    000h 00m 01.643s,    000h 01m 29.214s
54,    1698,    90912,    000h 00m 01.698s,    000h 01m 30.912s
55,    1724,    92636,    000h 00m 01.724s,    000h 01m 32.636s
56,    1568,    94204,    000h 00m 01.568s,    000h 01m 34.204s
57,    1703,    95907,    000h 00m 01.703s,    000h 01m 35.907s
58,    1717,    97624,    000h 00m 01.717s,    000h 01m 37.624s
59,    1590,    99214,    000h 00m 01.590s,    000h 01m 39.214s
60,    1700,    100914,    000h 00m 01.700s,    000h 01m 40.914s
61,    1507,    102421,    000h 00m 01.507s,    000h 01m 42.421s
62,    1708,    104129,    000h 00m 01.708s,    000h 01m 44.129s
63,    1742,    105871,    000h 00m 01.742s,    000h 01m 45.871s
64,    1741,    107612,    000h 00m 01.741s,    000h 01m 47.612s
65,    1712,    109324,    000h 00m 01.712s,    000h 01m 49.324s
66,    1608,    110932,    000h 00m 01.608s,    000h 01m 50.932s
67,    1692,    112624,    000h 00m 01.692s,    000h 01m 52.624s
68,    1589,    114213,    000h 00m 01.589s,    000h 01m 54.213s
69,    1565,    115778,    000h 00m 01.565s,    000h 01m 55.778s
70,    1717,    117495,    000h 00m 01.717s,    000h 01m 57.495s
71,    1719,    119214,    000h 00m 01.719s,    000h 01m 59.214s
72,    1631,    120845,    000h 00m 01.631s,    000h 02m 00.845s
73,    1621,    122466,    000h 00m 01.621s,    000h 02m 02.466s
74,    1614,    124080,    000h 00m 01.614s,    000h 02m 04.080s
75,    1639,    125719,    000h 00m 01.639s,    000h 02m 05.719s
76,    1628,    127347,    000h 00m 01.628s,    000h 02m 07.347s
77,    1610,    128957,    000h 00m 01.610s,    000h 02m 08.957s
78,    1631,    130588,    000h 00m 01.631s,    000h 02m 10.588s
79,    1754,    132342,    000h 00m 01.754s,    000h 02m 12.342s
80,    1649,    133991,    000h 00m 01.649s,    000h 02m 13.991s
81,    1570,    135561,    000h 00m 01.570s,    000h 02m 15.561s
82,    1646,    137207,    000h 00m 01.646s,    000h 02m 17.207s
83,    1731,    138938,    000h 00m 01.731s,    000h 02m 18.938s
84,    1728,    140666,    000h 00m 01.728s,    000h 02m 20.666s
85,    1587,    142253,    000h 00m 01.587s,    000h 02m 22.253s
86,    1713,    143966,    000h 00m 01.713s,    000h 02m 23.966s
87,    1648,    145614,    000h 00m 01.648s,    000h 02m 25.614s
88,    1717,    147331,    000h 00m 01.717s,    000h 02m 27.331s
89,    1632,    148963,    000h 00m 01.632s,    000h 02m 28.963s
90,    1725,    150688,    000h 00m 01.725s,    000h 02m 30.688s
91,    1729,    152417,    000h 00m 01.729s,    000h 02m 32.417s
92,    1568,    153985,    000h 00m 01.568s,    000h 02m 33.985s
93,    1734,    155719,    000h 00m 01.734s,    000h 02m 35.719s
94,    1649,    157368,    000h 00m 01.649s,    000h 02m 37.368s
95,    1733,    159101,    000h 00m 01.733s,    000h 02m 39.101s
96,    1640,    160741,    000h 00m 01.640s,    000h 02m 40.741s
97,    1746,    162487,    000h 00m 01.746s,    000h 02m 42.487s
98,    1551,    164038,    000h 00m 01.551s,    000h 02m 44.038s
99,    1697,    165735,    000h 00m 01.697s,    000h 02m 45.735s
100,    1702,    167437,    000h 00m 01.702s,    000h 02m 47.437s
101,    1596,    169033,    000h 00m 01.596s,    000h 02m 49.033s
102,    1729,    170762,    000h 00m 01.729s,    000h 02m 50.762s
103,    1630,    172392,    000h 00m 01.630s,    000h 02m 52.392s
104,    1542,    173934,    000h 00m 01.542s,    000h 02m 53.934s
105,    1530,    175464,    000h 00m 01.530s,    000h 02m 55.464s
106,    1631,    177095,    000h 00m 01.631s,    000h 02m 57.095s
107,    1603,    178698,    000h 00m 01.603s,    000h 02m 58.698s
108,    1733,    180431,    000h 00m 01.733s,    000h 03m 00.431s
109,    1577,    182008,    000h 00m 01.577s,    000h 03m 02.008s
110,    1583,    183591,    000h 00m 01.583s,    000h 03m 03.591s
111,    1736,    185327,    000h 00m 01.736s,    000h 03m 05.327s
112,    1699,    187026,    000h 00m 01.699s,    000h 03m 07.026s
113,    1631,    188657,    000h 00m 01.631s,    000h 03m 08.657s
114,    1726,    190383,    000h 00m 01.726s,    000h 03m 10.383s
115,    1737,    192120,    000h 00m 01.737s,    000h 03m 12.120s
116,    1641,    193761,    000h 00m 01.641s,    000h 03m 13.761s
117,    1643,    195404,    000h 00m 01.643s,    000h 03m 15.404s
118,    1589,    196993,    000h 00m 01.589s,    000h 03m 16.993s
119,    1632,    198625,    000h 00m 01.632s,    000h 03m 18.625s
120,    1553,    200178,    000h 00m 01.553s,    000h 03m 20.178s
121,    1612,    201790,    000h 00m 01.612s,    000h 03m 21.790s
122,    1625,    203415,    000h 00m 01.625s,    000h 03m 23.415s
123,    1728,    205143,    000h 00m 01.728s,    000h 03m 25.143s
124,    1622,    206765,    000h 00m 01.622s,    000h 03m 26.765s
125,    1719,    208484,    000h 00m 01.719s,    000h 03m 28.484s
126,    1748,    210232,    000h 00m 01.748s,    000h 03m 30.232s
127,    1731,    211963,    000h 00m 01.731s,    000h 03m 31.963s
128,    1735,    213698,    000h 00m 01.735s,    000h 03m 33.698s
129,    1627,    215325,    000h 00m 01.627s,    000h 03m 35.325s
130,    1576,    216901,    000h 00m 01.576s,    000h 03m 36.901s
131,    1707,    218608,    000h 00m 01.707s,    000h 03m 38.608s
132,    1685,    220293,    000h 00m 01.685s,    000h 03m 40.293s
133,    1647,    221940,    000h 00m 01.647s,    000h 03m 41.940s
134,    1745,    223685,    000h 00m 01.745s,    000h 03m 43.685s
135,    1597,    225282,    000h 00m 01.597s,    000h 03m 45.282s
136,    1739,    227021,    000h 00m 01.739s,    000h 03m 47.021s
137,    1672,    228693,    000h 00m 01.672s,    000h 03m 48.693s
138,    1614,    230307,    000h 00m 01.614s,    000h 03m 50.307s
139,    1669,    231976,    000h 00m 01.669s,    000h 03m 51.976s
140,    1737,    233713,    000h 00m 01.737s,    000h 03m 53.713s
141,    1728,    235441,    000h 00m 01.728s,    000h 03m 55.441s
142,    1707,    237148,    000h 00m 01.707s,    000h 03m 57.148s
143,    1692,    238840,    000h 00m 01.692s,    000h 03m 58.840s
144,    1610,    240450,    000h 00m 01.610s,    000h 04m 00.450s
145,    1653,    242103,    000h 00m 01.653s,    000h 04m 02.103s
146,    1680,    243783,    000h 00m 01.680s,    000h 04m 03.783s
147,    1687,    245470,    000h 00m 01.687s,    000h 04m 05.470s
148,    1620,    247090,    000h 00m 01.620s,    000h 04m 07.090s
149,    1580,    248670,    000h 00m 01.580s,    000h 04m 08.670s
150,    1696,    250366,    000h 00m 01.696s,    000h 04m 10.366s
151,    1587,    251953,    000h 00m 01.587s,    000h 04m 11.953s
152,    1563,    253516,    000h 00m 01.563s,    000h 04m 13.516s
153,    1657,    255173,    000h 00m 01.657s,    000h 04m 15.173s
154,    1577,    256750,    000h 00m 01.577s,    000h 04m 16.750s
155,    1557,    258307,    000h 00m 01.557s,    000h 04m 18.307s
156,    1609,    259916,    000h 00m 01.609s,    000h 04m 19.916s
157,    1532,    261448,    000h 00m 01.532s,    000h 04m 21.448s
158,    1731,    263179,    000h 00m 01.731s,    000h 04m 23.179s
159,    1727,    264906,    000h 00m 01.727s,    000h 04m 24.906s
160,    1612,    266518,    000h 00m 01.612s,    000h 04m 26.518s
161,    1710,    268228,    000h 00m 01.710s,    000h 04m 28.228s
162,    1593,    269821,    000h 00m 01.593s,    000h 04m 29.821s
163,    1640,    271461,    000h 00m 01.640s,    000h 04m 31.461s
164,    1701,    273162,    000h 00m 01.701s,    000h 04m 33.162s
165,    1579,    274741,    000h 00m 01.579s,    000h 04m 34.741s
166,    1741,    276482,    000h 00m 01.741s,    000h 04m 36.482s
167,    1741,    278223,    000h 00m 01.741s,    000h 04m 38.223s
168,    1634,    279857,    000h 00m 01.634s,    000h 04m 39.857s
169,    1686,    281543,    000h 00m 01.686s,    000h 04m 41.543s
170,    1671,    283214,    000h 00m 01.671s,    000h 04m 43.214s
171,    1620,    284834,    000h 00m 01.620s,    000h 04m 44.834s
172,    1634,    286468,    000h 00m 01.634s,    000h 04m 46.468s
173,    1730,    288198,    000h 00m 01.730s,    000h 04m 48.198s
174,    1671,    289869,    000h 00m 01.671s,    000h 04m 49.869s
175,    1619,    291488,    000h 00m 01.619s,    000h 04m 51.488s
176,    1625,    293113,    000h 00m 01.625s,    000h 04m 53.113s
177,    1744,    294857,    000h 00m 01.744s,    000h 04m 54.857s
178,    1723,    296580,    000h 00m 01.723s,    000h 04m 56.580s
179,    1658,    298238,    000h 00m 01.658s,    000h 04m 58.238s
180,    1627,    299865,    000h 00m 01.627s,    000h 04m 59.865s
181,    1612,    301477,    000h 00m 01.612s,    000h 05m 01.477s
182,    1729,    303206,    000h 00m 01.729s,    000h 05m 03.206s
183,    1745,    304951,    000h 00m 01.745s,    000h 05m 04.951s
184,    1706,    306657,    000h 00m 01.706s,    000h 05m 06.657s
185,    1705,    308362,    000h 00m 01.705s,    000h 05m 08.362s
186,    1618,    309980,    000h 00m 01.618s,    000h 05m 09.980s
187,    1728,    311708,    000h 00m 01.728s,    000h 05m 11.708s
188,    1704,    313412,    000h 00m 01.704s,    000h 05m 13.412s
189,    1641,    315053,    000h 00m 01.641s,    000h 05m 15.053s
190,    1621,    316674,    000h 00m 01.621s,    000h 05m 16.674s
191,    1629,    318303,    000h 00m 01.629s,    000h 05m 18.303s
192,    1703,    320006,    000h 00m 01.703s,    000h 05m 20.006s
193,    1618,    321624,    000h 00m 01.618s,    000h 05m 21.624s
194,    1600,    323224,    000h 00m 01.600s,    000h 05m 23.224s
195,    1708,    324932,    000h 00m 01.708s,    000h 05m 24.932s
196,    1488,    326420,    000h 00m 01.488s,    000h 05m 26.420s
197,    1704,    328124,    000h 00m 01.704s,    000h 05m 28.124s
198,    1717,    329841,    000h 00m 01.717s,    000h 05m 29.841s
199,    1733,    331574,    000h 00m 01.733s,    000h 05m 31.574s
200,    1683,    333257,    000h 00m 01.683s,    000h 05m 33.257s
201,    1655,    334912,    000h 00m 01.655s,    000h 05m 34.912s
202,    1746,    336658,    000h 00m 01.746s,    000h 05m 36.658s
203,    1630,    338288,    000h 00m 01.630s,    000h 05m 38.288s
204,    1641,    339929,    000h 00m 01.641s,    000h 05m 39.929s
205,    1735,    341664,    000h 00m 01.735s,    000h 05m 41.664s
206,    1704,    343368,    000h 00m 01.704s,    000h 05m 43.368s
207,    1725,    345093,    000h 00m 01.725s,    000h 05m 45.093s
208,    1637,    346730,    000h 00m 01.637s,    000h 05m 46.730s
209,    1566,    348296,    000h 00m 01.566s,    000h 05m 48.296s
210,    1571,    349867,    000h 00m 01.571s,    000h 05m 49.867s
211,    1591,    351458,    000h 00m 01.591s,    000h 05m 51.458s
212,    1667,    353125,    000h 00m 01.667s,    000h 05m 53.125s
213,    1722,    354847,    000h 00m 01.722s,    000h 05m 54.847s
214,    1627,    356474,    000h 00m 01.627s,    000h 05m 56.474s
215,    1726,    358200,    000h 00m 01.726s,    000h 05m 58.200s
216,    1640,    359840,    000h 00m 01.640s,    000h 05m 59.840s
217,    1619,    361459,    000h 00m 01.619s,    000h 06m 01.459s
218,    1632,    363091,    000h 00m 01.632s,    000h 06m 03.091s
219,    1681,    364772,    000h 00m 01.681s,    000h 06m 04.772s
220,    1741,    366513,    000h 00m 01.741s,    000h 06m 06.513s
221,    1647,    368160,    000h 00m 01.647s,    000h 06m 08.160s
222,    1588,    369748,    000h 00m 01.588s,    000h 06m 09.748s
223,    1675,    371423,    000h 00m 01.675s,    000h 06m 11.423s
224,    1614,    373037,    000h 00m 01.614s,    000h 06m 13.037s
225,    1474,    374511,    000h 00m 01.474s,    000h 06m 14.511s
226,    1623,    376134,    000h 00m 01.623s,    000h 06m 16.134s
227,    1738,    377872,    000h 00m 01.738s,    000h 06m 17.872s
228,    1715,    379587,    000h 00m 01.715s,    000h 06m 19.587s
229,    1720,    381307,    000h 00m 01.720s,    000h 06m 21.307s
230,    1721,    383028,    000h 00m 01.721s,    000h 06m 23.028s
