pass,    time (ms),    total time (ms),    time,     total_time
1,    1544,    1544,    000h 00m 01.544s,    000h 00m 01.544s
2,    1781,    3325,    000h 00m 01.781s,    000h 00m 03.325s
3,    1757,    5082,    000h 00m 01.757s,    000h 00m 05.082s
4,    1406,    6488,    000h 00m 01.406s,    000h 00m 06.488s
5,    1623,    8111,    000h 00m 01.623s,    000h 00m 08.111s
6,    1737,    9848,    000h 00m 01.737s,    000h 00m 09.848s
7,    1760,    11608,    000h 00m 01.760s,    000h 00m 11.608s
8,    1579,    13187,    000h 00m 01.579s,    000h 00m 13.187s
9,    1627,    14814,    000h 00m 01.627s,    000h 00m 14.814s
10,    1356,    16170,    000h 00m 01.356s,    000h 00m 16.170s
11,    1584,    17754,    000h 00m 01.584s,    000h 00m 17.754s
12,    1736,    19490,    000h 00m 01.736s,    000h 00m 19.490s
13,    1662,    21152,    000h 00m 01.662s,    000h 00m 21.152s
14,    1744,    22896,    000h 00m 01.744s,    000h 00m 22.896s
15,    1498,    24394,    000h 00m 01.498s,    000h 00m 24.394s
16,    1618,    26012,    000h 00m 01.618s,    000h 00m 26.012s
17,    1569,    27581,    000h 00m 01.569s,    000h 00m 27.581s
18,    1535,    29116,    000h 00m 01.535s,    000h 00m 29.116s
19,    1604,    30720,    000h 00m 01.604s,    000h 00m 30.720s
20,    1790,    32510,    000h 00m 01.790s,    000h 00m 32.510s
21,    1600,    34110,    000h 00m 01.600s,    000h 00m 34.110s
22,    1592,    35702,    000h 00m 01.592s,    000h 00m 35.702s
23,    1666,    37368,    000h 00m 01.666s,    000h 00m 37.368s
24,    1756,    39124,    000h 00m 01.756s,    000h 00m 39.124s
25,    1736,    40860,    000h 00m 01.736s,    000h 00m 40.860s
26,    1572,    42432,    000h 00m 01.572s,    000h 00m 42.432s
27,    1673,    44105,    000h 00m 01.673s,    000h 00m 44.105s
28,    1552,    45657,    000h 00m 01.552s,    000h 00m 45.657s
29,    1527,    47184,    000h 00m 01.527s,    000h 00m 47.184s
30,    1760,    48944,    000h 00m 01.760s,    000h 00m 48.944s
31,    1582,    50526,    000h 00m 01.582s,    000h 00m 50.526s
32,    1542,    52068,    000h 00m 01.542s,    000h 00m 52.068s
33,    1688,    53756,    000h 00m 01.688s,    000h 00m 53.756s
34,    1637,    55393,    000h 00m 01.637s,    000h 00m 55.393s
35,    1648,    57041,    000h 00m 01.648s,    000h 00m 57.041s
36,    1621,    58662,    000h 00m 01.621s,    000h 00m 58.662s
37,    1747,    60409,    000h 00m 01.747s,    000h 01m 00.409s
38,    1752,    62161,    000h 00m 01.752s,    000h 01m 02.161s
39,    1666,    63827,    000h 00m 01.666s,    000h 01m 03.827s
40,    1658,    65485,    000h 00m 01.658s,    000h 01m 05.485s
41,    1550,    67035,    000h 00m 01.550s,    000h 01m 07.035s
42,    1596,    68631,    000h 00m 01.596s,    000h 01m 08.631s
43,    1545,    70176,    000h 00m 01.545s,    000h 01m 10.176s
44,    1667,    71843,    000h 00m 01.667s,    000h 01m 11.843s
45,    1633,    73476,    000h 00m 01.633s,    000h 01m 13.476s
46,    1620,    75096,    000h 00m 01.620s,    000h 01m 15.096s
47,    1714,    76810,    000h 00m 01.714s,    000h 01m 16.810s
48,    1734,    78544,    000h 00m 01.734s,    000h 01m 18.544s
49,    1748,    80292,    000h 00m 01.748s,    000h 01m 20.292s
50,    1737,    82029,    000h 00m 01.737s,    000h 01m 22.029s
51,    1700,    83729,    000h 00m 01.700s,    000h 01m 23.729s
52,    1730,    85459,    000h 00m 01.730s,    000h 01m 25.459s
53,    1714,    87173,    000h 00m 01.714s,    000h 01m 27.173s
54,    1640,    88813,    000h 00m 01.640s,    000h 01m 28.813s
55,    1729,    90542,    000h 00m 01.729s,    000h 01m 30.542s
56,    1548,    92090,    000h 00m 01.548s,    000h 01m 32.090s
57,    1713,    93803,    000h 00m 01.713s,    000h 01m 33.803s
58,    1755,    95558,    000h 00m 01.755s,    000h 01m 35.558s
59,    1576,    97134,    000h 00m 01.576s,    000h 01m 37.134s
60,    1371,    98505,    000h 00m 01.371s,    000h 01m 38.505s
61,    1617,    100122,    000h 00m 01.617s,    000h 01m 40.122s
62,    1797,    101919,    000h 00m 01.797s,    000h 01m 41.919s
63,    1744,    103663,    000h 00m 01.744s,    000h 01m 43.663s
64,    1717,    105380,    000h 00m 01.717s,    000h 01m 45.380s
65,    1708,    107088,    000h 00m 01.708s,    000h 01m 47.088s
66,    1669,    108757,    000h 00m 01.669s,    000h 01m 48.757s
67,    1651,    110408,    000h 00m 01.651s,    000h 01m 50.408s
68,    1671,    112079,    000h 00m 01.671s,    000h 01m 52.079s
69,    1721,    113800,    000h 00m 01.721s,    000h 01m 53.800s
70,    1716,    115516,    000h 00m 01.716s,    000h 01m 55.516s
71,    1584,    117100,    000h 00m 01.584s,    000h 01m 57.100s
72,    1696,    118796,    000h 00m 01.696s,    000h 01m 58.796s
73,    1570,    120366,    000h 00m 01.570s,    000h 02m 00.366s
74,    1602,    121968,    000h 00m 01.602s,    000h 02m 01.968s
75,    1576,    123544,    000h 00m 01.576s,    000h 02m 03.544s
76,    1746,    125290,    000h 00m 01.746s,    000h 02m 05.290s
77,    1599,    126889,    000h 00m 01.599s,    000h 02m 06.889s
78,    1744,    128633,    000h 00m 01.744s,    000h 02m 08.633s
79,    1577,    130210,    000h 00m 01.577s,    000h 02m 10.210s
80,    1621,    131831,    000h 00m 01.621s,    000h 02m 11.831s
81,    1713,    133544,    000h 00m 01.713s,    000h 02m 13.544s
82,    1702,    135246,    000h 00m 01.702s,    000h 02m 15.246s
83,    1623,    136869,    000h 00m 01.623s,    000h 02m 16.869s
84,    1643,    138512,    000h 00m 01.643s,    000h 02m 18.512s
85,    1388,    139900,    000h 00m 01.388s,    000h 02m 19.900s
86,    1696,    141596,    000h 00m 01.696s,    000h 02m 21.596s
87,    1710,    143306,    000h 00m 01.710s,    000h 02m 23.306s
88,    1603,    144909,    000h 00m 01.603s,    000h 02m 24.909s
89,    1575,    146484,    000h 00m 01.575s,    000h 02m 26.484s
