pass,    time (ms),    total time (ms),    time,     total_time
1,    1673,    1673,    000h 00m 01.673s,    000h 00m 01.673s
2,    1615,    3288,    000h 00m 01.615s,    000h 00m 03.288s
3,    1579,    4867,    000h 00m 01.579s,    000h 00m 04.867s
4,    1605,    6472,    000h 00m 01.605s,    000h 00m 06.472s
5,    1571,    8043,    000h 00m 01.571s,    000h 00m 08.043s
6,    1621,    9664,    000h 00m 01.621s,    000h 00m 09.664s
7,    1591,    11255,    000h 00m 01.591s,    000h 00m 11.255s
8,    1560,    12815,    000h 00m 01.560s,    000h 00m 12.815s
9,    1603,    14418,    000h 00m 01.603s,    000h 00m 14.418s
10,    1552,    15970,    000h 00m 01.552s,    000h 00m 15.970s
11,    1610,    17580,    000h 00m 01.610s,    000h 00m 17.580s
12,    1613,    19193,    000h 00m 01.613s,    000h 00m 19.193s
13,    1601,    20794,    000h 00m 01.601s,    000h 00m 20.794s
14,    1591,    22385,    000h 00m 01.591s,    000h 00m 22.385s
15,    1624,    24009,    000h 00m 01.624s,    000h 00m 24.009s
16,    1601,    25610,    000h 00m 01.601s,    000h 00m 25.610s
17,    1612,    27222,    000h 00m 01.612s,    000h 00m 27.222s
18,    1597,    28819,    000h 00m 01.597s,    000h 00m 28.819s
19,    1634,    30453,    000h 00m 01.634s,    000h 00m 30.453s
20,    1500,    31953,    000h 00m 01.500s,    000h 00m 31.953s
21,    1659,    33612,    000h 00m 01.659s,    000h 00m 33.612s
22,    1639,    35251,    000h 00m 01.639s,    000h 00m 35.251s
23,    1560,    36811,    000h 00m 01.560s,    000h 00m 36.811s
24,    1560,    38371,    000h 00m 01.560s,    000h 00m 38.371s
25,    1622,    39993,    000h 00m 01.622s,    000h 00m 39.993s
26,    1609,    41602,    000h 00m 01.609s,    000h 00m 41.602s
27,    1607,    43209,    000h 00m 01.607s,    000h 00m 43.209s
28,    1568,    44777,    000h 00m 01.568s,    000h 00m 44.777s
29,    1635,    46412,    000h 00m 01.635s,    000h 00m 46.412s
30,    1640,    48052,    000h 00m 01.640s,    000h 00m 48.052s
31,    1589,    49641,    000h 00m 01.589s,    000h 00m 49.641s
32,    1638,    51279,    000h 00m 01.638s,    000h 00m 51.279s
33,    1531,    52810,    000h 00m 01.531s,    000h 00m 52.810s
34,    1601,    54411,    000h 00m 01.601s,    000h 00m 54.411s
35,    1592,    56003,    000h 00m 01.592s,    000h 00m 56.003s
36,    1642,    57645,    000h 00m 01.642s,    000h 00m 57.645s
37,    1633,    59278,    000h 00m 01.633s,    000h 00m 59.278s
38,    1588,    60866,    000h 00m 01.588s,    000h 01m 00.866s
39,    1671,    62537,    000h 00m 01.671s,    000h 01m 02.537s
40,    1614,    64151,    000h 00m 01.614s,    000h 01m 04.151s
41,    1632,    65783,    000h 00m 01.632s,    000h 01m 05.783s
42,    1543,    67326,    000h 00m 01.543s,    000h 01m 07.326s
43,    1549,    68875,    000h 00m 01.549s,    000h 01m 08.875s
44,    1607,    70482,    000h 00m 01.607s,    000h 01m 10.482s
45,    1610,    72092,    000h 00m 01.610s,    000h 01m 12.092s
46,    1589,    73681,    000h 00m 01.589s,    000h 01m 13.681s
47,    1597,    75278,    000h 00m 01.597s,    000h 01m 15.278s
48,    1630,    76908,    000h 00m 01.630s,    000h 01m 16.908s
49,    1617,    78525,    000h 00m 01.617s,    000h 01m 18.525s
50,    1619,    80144,    000h 00m 01.619s,    000h 01m 20.144s
51,    1569,    81713,    000h 00m 01.569s,    000h 01m 21.713s
52,    1537,    83250,    000h 00m 01.537s,    000h 01m 23.250s
53,    1580,    84830,    000h 00m 01.580s,    000h 01m 24.830s
54,    1611,    86441,    000h 00m 01.611s,    000h 01m 26.441s
55,    1599,    88040,    000h 00m 01.599s,    000h 01m 28.040s
56,    1657,    89697,    000h 00m 01.657s,    000h 01m 29.697s
57,    1625,    91322,    000h 00m 01.625s,    000h 01m 31.322s
58,    1524,    92846,    000h 00m 01.524s,    000h 01m 32.846s
59,    1625,    94471,    000h 00m 01.625s,    000h 01m 34.471s
60,    1527,    95998,    000h 00m 01.527s,    000h 01m 35.998s
61,    1576,    97574,    000h 00m 01.576s,    000h 01m 37.574s
62,    1572,    99146,    000h 00m 01.572s,    000h 01m 39.146s
63,    1545,    100691,    000h 00m 01.545s,    000h 01m 40.691s
64,    1572,    102263,    000h 00m 01.572s,    000h 01m 42.263s
65,    1581,    103844,    000h 00m 01.581s,    000h 01m 43.844s
66,    1633,    105477,    000h 00m 01.633s,    000h 01m 45.477s
67,    1604,    107081,    000h 00m 01.604s,    000h 01m 47.081s
68,    1579,    108660,    000h 00m 01.579s,    000h 01m 48.660s
69,    1614,    110274,    000h 00m 01.614s,    000h 01m 50.274s
70,    1690,    111964,    000h 00m 01.690s,    000h 01m 51.964s
71,    1538,    113502,    000h 00m 01.538s,    000h 01m 53.502s
72,    1607,    115109,    000h 00m 01.607s,    000h 01m 55.109s
73,    1608,    116717,    000h 00m 01.608s,    000h 01m 56.717s
74,    1584,    118301,    000h 00m 01.584s,    000h 01m 58.301s
75,    1608,    119909,    000h 00m 01.608s,    000h 01m 59.909s
76,    1563,    121472,    000h 00m 01.563s,    000h 02m 01.472s
77,    1620,    123092,    000h 00m 01.620s,    000h 02m 03.092s
78,    1609,    124701,    000h 00m 01.609s,    000h 02m 04.701s
79,    1595,    126296,    000h 00m 01.595s,    000h 02m 06.296s
80,    1590,    127886,    000h 00m 01.590s,    000h 02m 07.886s
81,    1578,    129464,    000h 00m 01.578s,    000h 02m 09.464s
82,    1566,    131030,    000h 00m 01.566s,    000h 02m 11.030s
83,    1737,    132767,    000h 00m 01.737s,    000h 02m 12.767s
84,    1586,    134353,    000h 00m 01.586s,    000h 02m 14.353s
85,    1585,    135938,    000h 00m 01.585s,    000h 02m 15.938s
86,    1543,    137481,    000h 00m 01.543s,    000h 02m 17.481s
87,    1581,    139062,    000h 00m 01.581s,    000h 02m 19.062s
88,    1604,    140666,    000h 00m 01.604s,    000h 02m 20.666s
89,    1537,    142203,    000h 00m 01.537s,    000h 02m 22.203s
90,    1589,    143792,    000h 00m 01.589s,    000h 02m 23.792s
91,    1650,    145442,    000h 00m 01.650s,    000h 02m 25.442s
92,    1540,    146982,    000h 00m 01.540s,    000h 02m 26.982s
93,    1522,    148504,    000h 00m 01.522s,    000h 02m 28.504s
94,    1585,    150089,    000h 00m 01.585s,    000h 02m 30.089s
95,    1544,    151633,    000h 00m 01.544s,    000h 02m 31.633s
96,    1667,    153300,    000h 00m 01.667s,    000h 02m 33.300s
97,    1568,    154868,    000h 00m 01.568s,    000h 02m 34.868s
98,    1665,    156533,    000h 00m 01.665s,    000h 02m 36.533s
99,    1559,    158092,    000h 00m 01.559s,    000h 02m 38.092s
100,    1642,    159734,    000h 00m 01.642s,    000h 02m 39.734s
101,    1500,    161234,    000h 00m 01.500s,    000h 02m 41.234s
102,    1551,    162785,    000h 00m 01.551s,    000h 02m 42.785s
103,    1605,    164390,    000h 00m 01.605s,    000h 02m 44.390s
104,    1646,    166036,    000h 00m 01.646s,    000h 02m 46.036s
105,    1612,    167648,    000h 00m 01.612s,    000h 02m 47.648s
106,    1558,    169206,    000h 00m 01.558s,    000h 02m 49.206s
107,    1619,    170825,    000h 00m 01.619s,    000h 02m 50.825s
108,    1617,    172442,    000h 00m 01.617s,    000h 02m 52.442s
109,    1608,    174050,    000h 00m 01.608s,    000h 02m 54.050s
110,    1613,    175663,    000h 00m 01.613s,    000h 02m 55.663s
111,    1615,    177278,    000h 00m 01.615s,    000h 02m 57.278s
