pass,    time (ms),    total time (ms),    time,     total_time
1,    1711,    1711,    000h 00m 01.711s,    000h 00m 01.711s
2,    1742,    3453,    000h 00m 01.742s,    000h 00m 03.453s
3,    1738,    5191,    000h 00m 01.738s,    000h 00m 05.191s
4,    1756,    6947,    000h 00m 01.756s,    000h 00m 06.947s
5,    1717,    8664,    000h 00m 01.717s,    000h 00m 08.664s
6,    1717,    10381,    000h 00m 01.717s,    000h 00m 10.381s
7,    1719,    12100,    000h 00m 01.719s,    000h 00m 12.100s
8,    1545,    13645,    000h 00m 01.545s,    000h 00m 13.645s
9,    1576,    15221,    000h 00m 01.576s,    000h 00m 15.221s
10,    1652,    16873,    000h 00m 01.652s,    000h 00m 16.873s
11,    1654,    18527,    000h 00m 01.654s,    000h 00m 18.527s
12,    1546,    20073,    000h 00m 01.546s,    000h 00m 20.073s
13,    1684,    21757,    000h 00m 01.684s,    000h 00m 21.757s
14,    1708,    23465,    000h 00m 01.708s,    000h 00m 23.465s
15,    1729,    25194,    000h 00m 01.729s,    000h 00m 25.194s
16,    1774,    26968,    000h 00m 01.774s,    000h 00m 26.968s
17,    1713,    28681,    000h 00m 01.713s,    000h 00m 28.681s
18,    1705,    30386,    000h 00m 01.705s,    000h 00m 30.386s
19,    1700,    32086,    000h 00m 01.700s,    000h 00m 32.086s
20,    1752,    33838,    000h 00m 01.752s,    000h 00m 33.838s
21,    1714,    35552,    000h 00m 01.714s,    000h 00m 35.552s
22,    1681,    37233,    000h 00m 01.681s,    000h 00m 37.233s
23,    1672,    38905,    000h 00m 01.672s,    000h 00m 38.905s
24,    1545,    40450,    000h 00m 01.545s,    000h 00m 40.450s
25,    1715,    42165,    000h 00m 01.715s,    000h 00m 42.165s
26,    1553,    43718,    000h 00m 01.553s,    000h 00m 43.718s
27,    1725,    45443,    000h 00m 01.725s,    000h 00m 45.443s
28,    1599,    47042,    000h 00m 01.599s,    000h 00m 47.042s
29,    1640,    48682,    000h 00m 01.640s,    000h 00m 48.682s
30,    1535,    50217,    000h 00m 01.535s,    000h 00m 50.217s
31,    1731,    51948,    000h 00m 01.731s,    000h 00m 51.948s
32,    1714,    53662,    000h 00m 01.714s,    000h 00m 53.662s
33,    1651,    55313,    000h 00m 01.651s,    000h 00m 55.313s
34,    1774,    57087,    000h 00m 01.774s,    000h 00m 57.087s
35,    1754,    58841,    000h 00m 01.754s,    000h 00m 58.841s
36,    1739,    60580,    000h 00m 01.739s,    000h 01m 00.580s
37,    1742,    62322,    000h 00m 01.742s,    000h 01m 02.322s
38,    1739,    64061,    000h 00m 01.739s,    000h 01m 04.061s
39,    1679,    65740,    000h 00m 01.679s,    000h 01m 05.740s
40,    1567,    67307,    000h 00m 01.567s,    000h 01m 07.307s
