pass,    time (ms),    total time (ms),    time,     total_time
1,    1592,    1592,    000h 00m 01.592s,    000h 00m 01.592s
2,    1541,    3133,    000h 00m 01.541s,    000h 00m 03.133s
3,    1668,    4801,    000h 00m 01.668s,    000h 00m 04.801s
4,    1749,    6550,    000h 00m 01.749s,    000h 00m 06.550s
5,    1590,    8140,    000h 00m 01.590s,    000h 00m 08.140s
6,    1580,    9720,    000h 00m 01.580s,    000h 00m 09.720s
7,    1607,    11327,    000h 00m 01.607s,    000h 00m 11.327s
8,    1666,    12993,    000h 00m 01.666s,    000h 00m 12.993s
9,    1654,    14647,    000h 00m 01.654s,    000h 00m 14.647s
10,    1697,    16344,    000h 00m 01.697s,    000h 00m 16.344s
11,    1594,    17938,    000h 00m 01.594s,    000h 00m 17.938s
12,    1666,    19604,    000h 00m 01.666s,    000h 00m 19.604s
13,    1664,    21268,    000h 00m 01.664s,    000h 00m 21.268s
14,    1689,    22957,    000h 00m 01.689s,    000h 00m 22.957s
15,    1509,    24466,    000h 00m 01.509s,    000h 00m 24.466s
16,    1431,    25897,    000h 00m 01.431s,    000h 00m 25.897s
17,    1532,    27429,    000h 00m 01.532s,    000h 00m 27.429s
18,    1448,    28877,    000h 00m 01.448s,    000h 00m 28.877s
19,    1613,    30490,    000h 00m 01.613s,    000h 00m 30.490s
20,    1682,    32172,    000h 00m 01.682s,    000h 00m 32.172s
21,    1701,    33873,    000h 00m 01.701s,    000h 00m 33.873s
22,    1601,    35474,    000h 00m 01.601s,    000h 00m 35.474s
23,    1553,    37027,    000h 00m 01.553s,    000h 00m 37.027s
24,    1474,    38501,    000h 00m 01.474s,    000h 00m 38.501s
25,    1512,    40013,    000h 00m 01.512s,    000h 00m 40.013s
26,    1653,    41666,    000h 00m 01.653s,    000h 00m 41.666s
27,    1696,    43362,    000h 00m 01.696s,    000h 00m 43.362s
28,    1448,    44810,    000h 00m 01.448s,    000h 00m 44.810s
29,    1538,    46348,    000h 00m 01.538s,    000h 00m 46.348s
30,    1642,    47990,    000h 00m 01.642s,    000h 00m 47.990s
31,    1724,    49714,    000h 00m 01.724s,    000h 00m 49.714s
32,    1557,    51271,    000h 00m 01.557s,    000h 00m 51.271s
33,    1502,    52773,    000h 00m 01.502s,    000h 00m 52.773s
34,    1762,    54535,    000h 00m 01.762s,    000h 00m 54.535s
35,    1692,    56227,    000h 00m 01.692s,    000h 00m 56.227s
36,    1634,    57861,    000h 00m 01.634s,    000h 00m 57.861s
37,    1738,    59599,    000h 00m 01.738s,    000h 00m 59.599s
38,    1657,    61256,    000h 00m 01.657s,    000h 01m 01.256s
39,    1637,    62893,    000h 00m 01.637s,    000h 01m 02.893s
40,    1497,    64390,    000h 00m 01.497s,    000h 01m 04.390s
41,    1685,    66075,    000h 00m 01.685s,    000h 01m 06.075s
42,    1504,    67579,    000h 00m 01.504s,    000h 01m 07.579s
43,    1448,    69027,    000h 00m 01.448s,    000h 01m 09.027s
44,    1701,    70728,    000h 00m 01.701s,    000h 01m 10.728s
45,    1448,    72176,    000h 00m 01.448s,    000h 01m 12.176s
46,    1666,    73842,    000h 00m 01.666s,    000h 01m 13.842s
47,    1389,    75231,    000h 00m 01.389s,    000h 01m 15.231s
48,    1455,    76686,    000h 00m 01.455s,    000h 01m 16.686s
49,    1504,    78190,    000h 00m 01.504s,    000h 01m 18.190s
50,    1442,    79632,    000h 00m 01.442s,    000h 01m 19.632s
51,    1573,    81205,    000h 00m 01.573s,    000h 01m 21.205s
52,    1500,    82705,    000h 00m 01.500s,    000h 01m 22.705s
53,    1709,    84414,    000h 00m 01.709s,    000h 01m 24.414s
