pass,    time (ms),    total time (ms),    time,     total_time
1,    1694,    1694,    000h 00m 01.694s,    000h 00m 01.694s
2,    1626,    3320,    000h 00m 01.626s,    000h 00m 03.320s
3,    1703,    5023,    000h 00m 01.703s,    000h 00m 05.023s
4,    1730,    6753,    000h 00m 01.730s,    000h 00m 06.753s
5,    1742,    8495,    000h 00m 01.742s,    000h 00m 08.495s
6,    1750,    10245,    000h 00m 01.750s,    000h 00m 10.245s
7,    1593,    11838,    000h 00m 01.593s,    000h 00m 11.838s
8,    1618,    13456,    000h 00m 01.618s,    000h 00m 13.456s
9,    1761,    15217,    000h 00m 01.761s,    000h 00m 15.217s
10,    1579,    16796,    000h 00m 01.579s,    000h 00m 16.796s
11,    1699,    18495,    000h 00m 01.699s,    000h 00m 18.495s
12,    1710,    20205,    000h 00m 01.710s,    000h 00m 20.205s
13,    1729,    21934,    000h 00m 01.729s,    000h 00m 21.934s
14,    1707,    23641,    000h 00m 01.707s,    000h 00m 23.641s
15,    1719,    25360,    000h 00m 01.719s,    000h 00m 25.360s
16,    1586,    26946,    000h 00m 01.586s,    000h 00m 26.946s
17,    1702,    28648,    000h 00m 01.702s,    000h 00m 28.648s
18,    1658,    30306,    000h 00m 01.658s,    000h 00m 30.306s
19,    1654,    31960,    000h 00m 01.654s,    000h 00m 31.960s
20,    1669,    33629,    000h 00m 01.669s,    000h 00m 33.629s
21,    1724,    35353,    000h 00m 01.724s,    000h 00m 35.353s
22,    1568,    36921,    000h 00m 01.568s,    000h 00m 36.921s
23,    1730,    38651,    000h 00m 01.730s,    000h 00m 38.651s
24,    1728,    40379,    000h 00m 01.728s,    000h 00m 40.379s
25,    1651,    42030,    000h 00m 01.651s,    000h 00m 42.030s
26,    1596,    43626,    000h 00m 01.596s,    000h 00m 43.626s
27,    1685,    45311,    000h 00m 01.685s,    000h 00m 45.311s
28,    1623,    46934,    000h 00m 01.623s,    000h 00m 46.934s
29,    1742,    48676,    000h 00m 01.742s,    000h 00m 48.676s
30,    1548,    50224,    000h 00m 01.548s,    000h 00m 50.224s
31,    1713,    51937,    000h 00m 01.713s,    000h 00m 51.937s
32,    1725,    53662,    000h 00m 01.725s,    000h 00m 53.662s
33,    1658,    55320,    000h 00m 01.658s,    000h 00m 55.320s
34,    1696,    57016,    000h 00m 01.696s,    000h 00m 57.016s
35,    1591,    58607,    000h 00m 01.591s,    000h 00m 58.607s
36,    1705,    60312,    000h 00m 01.705s,    000h 01m 00.312s
37,    1579,    61891,    000h 00m 01.579s,    000h 01m 01.891s
38,    1713,    63604,    000h 00m 01.713s,    000h 01m 03.604s
39,    1597,    65201,    000h 00m 01.597s,    000h 01m 05.201s
40,    1728,    66929,    000h 00m 01.728s,    000h 01m 06.929s
41,    1720,    68649,    000h 00m 01.720s,    000h 01m 08.649s
42,    1743,    70392,    000h 00m 01.743s,    000h 01m 10.392s
43,    1563,    71955,    000h 00m 01.563s,    000h 01m 11.955s
44,    1714,    73669,    000h 00m 01.714s,    000h 01m 13.669s
45,    1693,    75362,    000h 00m 01.693s,    000h 01m 15.362s
46,    1747,    77109,    000h 00m 01.747s,    000h 01m 17.109s
