pass,    time (ms),    total time (ms),    time,     total_time
1,    1724,    1724,    000h 00m 01.724s,    000h 00m 01.724s
2,    1743,    3467,    000h 00m 01.743s,    000h 00m 03.467s
3,    1765,    5232,    000h 00m 01.765s,    000h 00m 05.232s
4,    1751,    6983,    000h 00m 01.751s,    000h 00m 06.983s
5,    1634,    8617,    000h 00m 01.634s,    000h 00m 08.617s
6,    1750,    10367,    000h 00m 01.750s,    000h 00m 10.367s
7,    1752,    12119,    000h 00m 01.752s,    000h 00m 12.119s
8,    1660,    13779,    000h 00m 01.660s,    000h 00m 13.779s
9,    1514,    15293,    000h 00m 01.514s,    000h 00m 15.293s
10,    1583,    16876,    000h 00m 01.583s,    000h 00m 16.876s
11,    1550,    18426,    000h 00m 01.550s,    000h 00m 18.426s
12,    1569,    19995,    000h 00m 01.569s,    000h 00m 19.995s
13,    1786,    21781,    000h 00m 01.786s,    000h 00m 21.781s
14,    1731,    23512,    000h 00m 01.731s,    000h 00m 23.512s
15,    1292,    24804,    000h 00m 01.292s,    000h 00m 24.804s
16,    1677,    26481,    000h 00m 01.677s,    000h 00m 26.481s
17,    1757,    28238,    000h 00m 01.757s,    000h 00m 28.238s
18,    1332,    29570,    000h 00m 01.332s,    000h 00m 29.570s
19,    1642,    31212,    000h 00m 01.642s,    000h 00m 31.212s
20,    1574,    32786,    000h 00m 01.574s,    000h 00m 32.786s
21,    1336,    34122,    000h 00m 01.336s,    000h 00m 34.122s
22,    1601,    35723,    000h 00m 01.601s,    000h 00m 35.723s
23,    1710,    37433,    000h 00m 01.710s,    000h 00m 37.433s
24,    1759,    39192,    000h 00m 01.759s,    000h 00m 39.192s
25,    1523,    40715,    000h 00m 01.523s,    000h 00m 40.715s
26,    1594,    42309,    000h 00m 01.594s,    000h 00m 42.309s
27,    1713,    44022,    000h 00m 01.713s,    000h 00m 44.022s
28,    1679,    45701,    000h 00m 01.679s,    000h 00m 45.701s
29,    1592,    47293,    000h 00m 01.592s,    000h 00m 47.293s
30,    1555,    48848,    000h 00m 01.555s,    000h 00m 48.848s
31,    1738,    50586,    000h 00m 01.738s,    000h 00m 50.586s
32,    1585,    52171,    000h 00m 01.585s,    000h 00m 52.171s
33,    1745,    53916,    000h 00m 01.745s,    000h 00m 53.916s
34,    1685,    55601,    000h 00m 01.685s,    000h 00m 55.601s
35,    1663,    57264,    000h 00m 01.663s,    000h 00m 57.264s
36,    1707,    58971,    000h 00m 01.707s,    000h 00m 58.971s
37,    1615,    60586,    000h 00m 01.615s,    000h 01m 00.586s
38,    1603,    62189,    000h 00m 01.603s,    000h 01m 02.189s
39,    1760,    63949,    000h 00m 01.760s,    000h 01m 03.949s
40,    1738,    65687,    000h 00m 01.738s,    000h 01m 05.687s
41,    1726,    67413,    000h 00m 01.726s,    000h 01m 07.413s
42,    1654,    69067,    000h 00m 01.654s,    000h 01m 09.067s
43,    1593,    70660,    000h 00m 01.593s,    000h 01m 10.660s
44,    1685,    72345,    000h 00m 01.685s,    000h 01m 12.345s
45,    1679,    74024,    000h 00m 01.679s,    000h 01m 14.024s
46,    1752,    75776,    000h 00m 01.752s,    000h 01m 15.776s
47,    1671,    77447,    000h 00m 01.671s,    000h 01m 17.447s
48,    1717,    79164,    000h 00m 01.717s,    000h 01m 19.164s
49,    1680,    80844,    000h 00m 01.680s,    000h 01m 20.844s
50,    1658,    82502,    000h 00m 01.658s,    000h 01m 22.502s
