pass,    time (ms),    total time (ms),    time,     total_time
1,    1720,    1720,    000h 00m 01.720s,    000h 00m 01.720s
2,    1777,    3497,    000h 00m 01.777s,    000h 00m 03.497s
3,    1686,    5183,    000h 00m 01.686s,    000h 00m 05.183s
4,    1729,    6912,    000h 00m 01.729s,    000h 00m 06.912s
5,    1582,    8494,    000h 00m 01.582s,    000h 00m 08.494s
6,    1685,    10179,    000h 00m 01.685s,    000h 00m 10.179s
7,    1756,    11935,    000h 00m 01.756s,    000h 00m 11.935s
8,    1308,    13243,    000h 00m 01.308s,    000h 00m 13.243s
9,    1667,    14910,    000h 00m 01.667s,    000h 00m 14.910s
10,    1747,    16657,    000h 00m 01.747s,    000h 00m 16.657s
11,    1622,    18279,    000h 00m 01.622s,    000h 00m 18.279s
12,    1632,    19911,    000h 00m 01.632s,    000h 00m 19.911s
13,    1531,    21442,    000h 00m 01.531s,    000h 00m 21.442s
14,    1701,    23143,    000h 00m 01.701s,    000h 00m 23.143s
15,    1738,    24881,    000h 00m 01.738s,    000h 00m 24.881s
16,    1576,    26457,    000h 00m 01.576s,    000h 00m 26.457s
17,    1581,    28038,    000h 00m 01.581s,    000h 00m 28.038s
18,    1378,    29416,    000h 00m 01.378s,    000h 00m 29.416s
19,    1758,    31174,    000h 00m 01.758s,    000h 00m 31.174s
20,    1611,    32785,    000h 00m 01.611s,    000h 00m 32.785s
21,    1574,    34359,    000h 00m 01.574s,    000h 00m 34.359s
22,    1661,    36020,    000h 00m 01.661s,    000h 00m 36.020s
23,    1722,    37742,    000h 00m 01.722s,    000h 00m 37.742s
24,    1710,    39452,    000h 00m 01.710s,    000h 00m 39.452s
25,    1709,    41161,    000h 00m 01.709s,    000h 00m 41.161s
26,    1661,    42822,    000h 00m 01.661s,    000h 00m 42.822s
27,    1620,    44442,    000h 00m 01.620s,    000h 00m 44.442s
28,    1345,    45787,    000h 00m 01.345s,    000h 00m 45.787s
29,    1631,    47418,    000h 00m 01.631s,    000h 00m 47.418s
30,    1688,    49106,    000h 00m 01.688s,    000h 00m 49.106s
31,    1725,    50831,    000h 00m 01.725s,    000h 00m 50.831s
32,    1489,    52320,    000h 00m 01.489s,    000h 00m 52.320s
33,    1740,    54060,    000h 00m 01.740s,    000h 00m 54.060s
34,    1553,    55613,    000h 00m 01.553s,    000h 00m 55.613s
35,    1560,    57173,    000h 00m 01.560s,    000h 00m 57.173s
36,    1685,    58858,    000h 00m 01.685s,    000h 00m 58.858s
37,    1542,    60400,    000h 00m 01.542s,    000h 01m 00.400s
38,    1694,    62094,    000h 00m 01.694s,    000h 01m 02.094s
39,    1685,    63779,    000h 00m 01.685s,    000h 01m 03.779s
40,    1764,    65543,    000h 00m 01.764s,    000h 01m 05.543s
41,    1740,    67283,    000h 00m 01.740s,    000h 01m 07.283s
42,    1597,    68880,    000h 00m 01.597s,    000h 01m 08.880s
43,    1617,    70497,    000h 00m 01.617s,    000h 01m 10.497s
44,    1568,    72065,    000h 00m 01.568s,    000h 01m 12.065s
45,    1370,    73435,    000h 00m 01.370s,    000h 01m 13.435s
