pass,    time (ms),    total time (ms),    time,     total_time
1,    1528,    1528,    000h 00m 01.528s,    000h 00m 01.528s
2,    1451,    2979,    000h 00m 01.451s,    000h 00m 02.979s
3,    1698,    4677,    000h 00m 01.698s,    000h 00m 04.677s
4,    1595,    6272,    000h 00m 01.595s,    000h 00m 06.272s
5,    1493,    7765,    000h 00m 01.493s,    000h 00m 07.765s
6,    1599,    9364,    000h 00m 01.599s,    000h 00m 09.364s
7,    1688,    11052,    000h 00m 01.688s,    000h 00m 11.052s
8,    1603,    12655,    000h 00m 01.603s,    000h 00m 12.655s
9,    1606,    14261,    000h 00m 01.606s,    000h 00m 14.261s
10,    1443,    15704,    000h 00m 01.443s,    000h 00m 15.704s
11,    1554,    17258,    000h 00m 01.554s,    000h 00m 17.258s
12,    1487,    18745,    000h 00m 01.487s,    000h 00m 18.745s
13,    1668,    20413,    000h 00m 01.668s,    000h 00m 20.413s
14,    1625,    22038,    000h 00m 01.625s,    000h 00m 22.038s
15,    1698,    23736,    000h 00m 01.698s,    000h 00m 23.736s
16,    1455,    25191,    000h 00m 01.455s,    000h 00m 25.191s
17,    1489,    26680,    000h 00m 01.489s,    000h 00m 26.680s
18,    1432,    28112,    000h 00m 01.432s,    000h 00m 28.112s
19,    1553,    29665,    000h 00m 01.553s,    000h 00m 29.665s
20,    1459,    31124,    000h 00m 01.459s,    000h 00m 31.124s
21,    1450,    32574,    000h 00m 01.450s,    000h 00m 32.574s
22,    1473,    34047,    000h 00m 01.473s,    000h 00m 34.047s
23,    1397,    35444,    000h 00m 01.397s,    000h 00m 35.444s
24,    2418,    37862,    000h 00m 02.418s,    000h 00m 37.862s
25,    12832,    50694,    000h 00m 12.832s,    000h 00m 50.694s
26,    2669,    53363,    000h 00m 02.669s,    000h 00m 53.363s
27,    22269,    75632,    000h 00m 22.269s,    000h 01m 15.632s
28,    22869,    98501,    000h 00m 22.869s,    000h 01m 38.501s
29,    22137,    120638,    000h 00m 22.137s,    000h 02m 00.638s
30,    21469,    142107,    000h 00m 21.469s,    000h 02m 22.107s
31,    22055,    164162,    000h 00m 22.055s,    000h 02m 44.162s
32,    23966,    188128,    000h 00m 23.966s,    000h 03m 08.128s
33,    23087,    211215,    000h 00m 23.087s,    000h 03m 31.215s
34,    24366,    235581,    000h 00m 24.366s,    000h 03m 55.581s
35,    20869,    256450,    000h 00m 20.869s,    000h 04m 16.450s
36,    25344,    281794,    000h 00m 25.344s,    000h 04m 41.794s
37,    21706,    303500,    000h 00m 21.706s,    000h 05m 03.500s
38,    24617,    328117,    000h 00m 24.617s,    000h 05m 28.117s
39,    25514,    353631,    000h 00m 25.514s,    000h 05m 53.631s
40,    22472,    376103,    000h 00m 22.472s,    000h 06m 16.103s
41,    23998,    400101,    000h 00m 23.998s,    000h 06m 40.101s
42,    25122,    425223,    000h 00m 25.122s,    000h 07m 05.223s
43,    25662,    450885,    000h 00m 25.662s,    000h 07m 30.885s
44,    21792,    472677,    000h 00m 21.792s,    000h 07m 52.677s
45,    3572,    476249,    000h 00m 03.572s,    000h 07m 56.249s
46,    2123,    478372,    000h 00m 02.123s,    000h 07m 58.372s
47,    1694,    480066,    000h 00m 01.694s,    000h 08m 00.066s
48,    1506,    481572,    000h 00m 01.506s,    000h 08m 01.572s
49,    1603,    483175,    000h 00m 01.603s,    000h 08m 03.175s
50,    1472,    484647,    000h 00m 01.472s,    000h 08m 04.647s
51,    1486,    486133,    000h 00m 01.486s,    000h 08m 06.133s
52,    1477,    487610,    000h 00m 01.477s,    000h 08m 07.610s
53,    1563,    489173,    000h 00m 01.563s,    000h 08m 09.173s
54,    1596,    490769,    000h 00m 01.596s,    000h 08m 10.769s
55,    1423,    492192,    000h 00m 01.423s,    000h 08m 12.192s
56,    1527,    493719,    000h 00m 01.527s,    000h 08m 13.719s
57,    1551,    495270,    000h 00m 01.551s,    000h 08m 15.270s
58,    1446,    496716,    000h 00m 01.446s,    000h 08m 16.716s
59,    1666,    498382,    000h 00m 01.666s,    000h 08m 18.382s
60,    1721,    500103,    000h 00m 01.721s,    000h 08m 20.103s
61,    1632,    501735,    000h 00m 01.632s,    000h 08m 21.735s
62,    1576,    503311,    000h 00m 01.576s,    000h 08m 23.311s
63,    1526,    504837,    000h 00m 01.526s,    000h 08m 24.837s
64,    1513,    506350,    000h 00m 01.513s,    000h 08m 26.350s
65,    1628,    507978,    000h 00m 01.628s,    000h 08m 27.978s
66,    1424,    509402,    000h 00m 01.424s,    000h 08m 29.402s
67,    1633,    511035,    000h 00m 01.633s,    000h 08m 31.035s
68,    1643,    512678,    000h 00m 01.643s,    000h 08m 32.678s
69,    1449,    514127,    000h 00m 01.449s,    000h 08m 34.127s
70,    1444,    515571,    000h 00m 01.444s,    000h 08m 35.571s
71,    1490,    517061,    000h 00m 01.490s,    000h 08m 37.061s
72,    1546,    518607,    000h 00m 01.546s,    000h 08m 38.607s
73,    1693,    520300,    000h 00m 01.693s,    000h 08m 40.300s
74,    1532,    521832,    000h 00m 01.532s,    000h 08m 41.832s
75,    1692,    523524,    000h 00m 01.692s,    000h 08m 43.524s
76,    1462,    524986,    000h 00m 01.462s,    000h 08m 44.986s
77,    1617,    526603,    000h 00m 01.617s,    000h 08m 46.603s
78,    1583,    528186,    000h 00m 01.583s,    000h 08m 48.186s
79,    1452,    529638,    000h 00m 01.452s,    000h 08m 49.638s
80,    1480,    531118,    000h 00m 01.480s,    000h 08m 51.118s
81,    1599,    532717,    000h 00m 01.599s,    000h 08m 52.717s
82,    1610,    534327,    000h 00m 01.610s,    000h 08m 54.327s
83,    1443,    535770,    000h 00m 01.443s,    000h 08m 55.770s
84,    1549,    537319,    000h 00m 01.549s,    000h 08m 57.319s
85,    1635,    538954,    000h 00m 01.635s,    000h 08m 58.954s
86,    1691,    540645,    000h 00m 01.691s,    000h 09m 00.645s
87,    1480,    542125,    000h 00m 01.480s,    000h 09m 02.125s
88,    1624,    543749,    000h 00m 01.624s,    000h 09m 03.749s
89,    1720,    545469,    000h 00m 01.720s,    000h 09m 05.469s
90,    1698,    547167,    000h 00m 01.698s,    000h 09m 07.167s
91,    1629,    548796,    000h 00m 01.629s,    000h 09m 08.796s
92,    1616,    550412,    000h 00m 01.616s,    000h 09m 10.412s
93,    1605,    552017,    000h 00m 01.605s,    000h 09m 12.017s
94,    1631,    553648,    000h 00m 01.631s,    000h 09m 13.648s
95,    1519,    555167,    000h 00m 01.519s,    000h 09m 15.167s
96,    1711,    556878,    000h 00m 01.711s,    000h 09m 16.878s
97,    1586,    558464,    000h 00m 01.586s,    000h 09m 18.464s
98,    1620,    560084,    000h 00m 01.620s,    000h 09m 20.084s
99,    1650,    561734,    000h 00m 01.650s,    000h 09m 21.734s
100,    1684,    563418,    000h 00m 01.684s,    000h 09m 23.418s
101,    1646,    565064,    000h 00m 01.646s,    000h 09m 25.064s
102,    1578,    566642,    000h 00m 01.578s,    000h 09m 26.642s
103,    1555,    568197,    000h 00m 01.555s,    000h 09m 28.197s
104,    1463,    569660,    000h 00m 01.463s,    000h 09m 29.660s
105,    1657,    571317,    000h 00m 01.657s,    000h 09m 31.317s
106,    1716,    573033,    000h 00m 01.716s,    000h 09m 33.033s
107,    1507,    574540,    000h 00m 01.507s,    000h 09m 34.540s
108,    1471,    576011,    000h 00m 01.471s,    000h 09m 36.011s
109,    1537,    577548,    000h 00m 01.537s,    000h 09m 37.548s
110,    1614,    579162,    000h 00m 01.614s,    000h 09m 39.162s
111,    1413,    580575,    000h 00m 01.413s,    000h 09m 40.575s
112,    1571,    582146,    000h 00m 01.571s,    000h 09m 42.146s
113,    1714,    583860,    000h 00m 01.714s,    000h 09m 43.860s
114,    1693,    585553,    000h 00m 01.693s,    000h 09m 45.553s
115,    1764,    587317,    000h 00m 01.764s,    000h 09m 47.317s
116,    1443,    588760,    000h 00m 01.443s,    000h 09m 48.760s
117,    1533,    590293,    000h 00m 01.533s,    000h 09m 50.293s
118,    1588,    591881,    000h 00m 01.588s,    000h 09m 51.881s
119,    1686,    593567,    000h 00m 01.686s,    000h 09m 53.567s
120,    1462,    595029,    000h 00m 01.462s,    000h 09m 55.029s
121,    1620,    596649,    000h 00m 01.620s,    000h 09m 56.649s
122,    1569,    598218,    000h 00m 01.569s,    000h 09m 58.218s
123,    1614,    599832,    000h 00m 01.614s,    000h 09m 59.832s
124,    1704,    601536,    000h 00m 01.704s,    000h 10m 01.536s
125,    1665,    603201,    000h 00m 01.665s,    000h 10m 03.201s
126,    1505,    604706,    000h 00m 01.505s,    000h 10m 04.706s
127,    1666,    606372,    000h 00m 01.666s,    000h 10m 06.372s
128,    1571,    607943,    000h 00m 01.571s,    000h 10m 07.943s
129,    1446,    609389,    000h 00m 01.446s,    000h 10m 09.389s
130,    1679,    611068,    000h 00m 01.679s,    000h 10m 11.068s
131,    1507,    612575,    000h 00m 01.507s,    000h 10m 12.575s
132,    1711,    614286,    000h 00m 01.711s,    000h 10m 14.286s
133,    1650,    615936,    000h 00m 01.650s,    000h 10m 15.936s
134,    1515,    617451,    000h 00m 01.515s,    000h 10m 17.451s
135,    1674,    619125,    000h 00m 01.674s,    000h 10m 19.125s
136,    1712,    620837,    000h 00m 01.712s,    000h 10m 20.837s
137,    1618,    622455,    000h 00m 01.618s,    000h 10m 22.455s
138,    1400,    623855,    000h 00m 01.400s,    000h 10m 23.855s
139,    1540,    625395,    000h 00m 01.540s,    000h 10m 25.395s
140,    1539,    626934,    000h 00m 01.539s,    000h 10m 26.934s
141,    1400,    628334,    000h 00m 01.400s,    000h 10m 28.334s
142,    1580,    629914,    000h 00m 01.580s,    000h 10m 29.914s
143,    1547,    631461,    000h 00m 01.547s,    000h 10m 31.461s
144,    1464,    632925,    000h 00m 01.464s,    000h 10m 32.925s
145,    1715,    634640,    000h 00m 01.715s,    000h 10m 34.640s
146,    1674,    636314,    000h 00m 01.674s,    000h 10m 36.314s
147,    1643,    637957,    000h 00m 01.643s,    000h 10m 37.957s
148,    1555,    639512,    000h 00m 01.555s,    000h 10m 39.512s
149,    1460,    640972,    000h 00m 01.460s,    000h 10m 40.972s
150,    1716,    642688,    000h 00m 01.716s,    000h 10m 42.688s
151,    1507,    644195,    000h 00m 01.507s,    000h 10m 44.195s
152,    1478,    645673,    000h 00m 01.478s,    000h 10m 45.673s
153,    1645,    647318,    000h 00m 01.645s,    000h 10m 47.318s
154,    1469,    648787,    000h 00m 01.469s,    000h 10m 48.787s
155,    1552,    650339,    000h 00m 01.552s,    000h 10m 50.339s
156,    1699,    652038,    000h 00m 01.699s,    000h 10m 52.038s
157,    1471,    653509,    000h 00m 01.471s,    000h 10m 53.509s
158,    1612,    655121,    000h 00m 01.612s,    000h 10m 55.121s
159,    1741,    656862,    000h 00m 01.741s,    000h 10m 56.862s
160,    1582,    658444,    000h 00m 01.582s,    000h 10m 58.444s
161,    1536,    659980,    000h 00m 01.536s,    000h 10m 59.980s
162,    1465,    661445,    000h 00m 01.465s,    000h 11m 01.445s
163,    1580,    663025,    000h 00m 01.580s,    000h 11m 03.025s
164,    1421,    664446,    000h 00m 01.421s,    000h 11m 04.446s
165,    1523,    665969,    000h 00m 01.523s,    000h 11m 05.969s
166,    1559,    667528,    000h 00m 01.559s,    000h 11m 07.528s
