LIU525B,
Wavelength (nm),Normalized Intensity
199.97546,0.00000
200.17692,0.00000
200.37839,0.00000
200.57989,0.00000
200.78140,0.00000
200.98293,0.00000
201.18448,0.00000
201.38605,0.00000
201.58764,0.00000
201.78925,0.00000
201.99087,0.00000
202.19252,0.00000
202.39418,0.00000
202.59586,0.00000
202.79756,0.00000
202.99928,0.00000
203.20102,0.00000
203.40278,0.00000
203.60455,0.00000
203.80635,0.00000
204.00816,0.00000
204.20999,0.00000
204.41184,0.00000
204.61371,0.00000
204.81560,0.00000
205.01750,0.00000
205.21943,0.00000
205.42137,0.00000
205.62334,0.00000
205.82532,0.00000
206.02732,0.00000
206.22934,0.00000
206.43137,0.00000
206.63343,0.00000
206.83551,0.00000
207.03760,0.00000
207.23971,0.00000
207.44184,0.00000
207.64399,0.00000
207.84616,0.00000
208.04835,0.00000
208.25055,0.00000
208.45278,0.00000
208.65502,0.00000
208.85728,0.00000
209.05956,0.00000
209.26186,0.00000
209.46418,0.00000
209.66651,0.00000
209.86887,0.00000
210.07124,0.00000
210.27363,0.00000
210.47604,0.00000
210.67847,0.00000
210.88092,0.00000
211.08338,0.00000
211.28587,0.00000
211.48837,0.00000
211.69089,0.00000
211.89343,0.00000
212.09599,0.00000
212.29857,0.00000
212.50117,0.00000
212.70378,0.00000
212.90641,0.00000
213.10907,0.00000
213.31174,0.00000
213.51442,0.00000
213.71713,0.00000
213.91986,0.00000
214.12260,0.00000
214.32537,0.00000
214.52815,0.00000
214.73095,0.00000
214.93376,0.00000
215.13660,0.00000
215.33946,0.00000
215.54233,0.00000
215.74522,0.00000
215.94813,0.00000
216.15106,0.00000
216.35401,0.00000
216.55698,0.00000
216.75996,0.00000
216.96297,0.00000
217.16599,0.00000
217.36903,0.00000
217.57209,0.00000
217.77517,0.00000
217.97826,0.00000
218.18138,0.00000
218.38451,0.00000
218.58766,0.00000
218.79083,0.00000
218.99402,0.00000
219.19722,0.00000
219.40045,0.00000
219.60369,0.00000
219.80695,0.00000
220.01023,0.00000
220.21353,0.00000
220.41685,0.00000
220.62018,0.00000
220.82354,0.00000
221.02691,0.00000
221.23030,0.00000
221.43371,0.00000
221.63713,0.00000
221.84058,0.00000
222.04404,0.00000
222.24753,0.00000
222.45103,0.00000
222.65455,0.00000
222.85808,0.00000
223.06164,0.00000
223.26521,0.00000
