THORLABS (LIUCWHA),
Wavelength (nm),Relative intensity
199.97546,0
200.17692,0
200.37839,0
200.57989,0
200.7814,0
200.98293,0
201.18448,0
201.38605,0
201.58764,0
201.78925,0
201.99087,0
202.19252,0
202.39418,0
202.59586,0
202.79756,0
202.99928,0
203.20102,0
203.40278,0
203.60455,0
203.80635,0
204.00816,0
204.20999,0
204.41184,0
204.61371,0
204.8156,0
205.0175,0
205.21943,0
205.42137,0
205.62334,0
205.82532,0
206.02732,0
206.22934,0
206.43137,0
206.63343,0
206.83551,0
207.0376,0
207.23971,0
207.44184,0
207.64399,0
207.84616,0
208.04835,0
208.25055,0
208.45278,0
208.65502,0
208.85728,0
209.05956,0
209.26186,0
209.46418,0
209.66651,0
209.86887,0
210.07124,0
210.27363,0
210.47604,0
210.67847,0
210.88092,0
211.08338,0
211.28587,0
211.48837,0
211.69089,0
211.89343,0
212.09599,0
212.29857,0
212.50117,0
212.70378,0
212.90641,0
213.10907,0
213.31174,0
213.51442,0
213.71713,0
213.91986,0
214.1226,0
214.32537,0
214.52815,0
214.73095,0
214.93376,0
215.1366,0
215.33946,0
215.54233,0
215.74522,0
215.94813,0
216.15106,0
216.35401,0
216.55698,0
216.75996,0
216.96297,0
217.16599,0
217.36903,0
217.57209,0
217.77517,0
217.97826,0
218.18138,0
218.38451,0
218.58766,0
218.79083,0
218.99402,0
219.19722,0
219.40045,0
219.60369,0
219.80695,0
220.01023,0
220.21353,0
220.41685,0
220.62018,0
220.82354,0
221.02691,0
221.2303,0
221.43371,0
221.63713,0
221.84058,0
222.04404,0
222.24753,0
222.45103,0
222.65455,0
222.85808,0
223.06164,0
223.26521,0
223.46881,0
223.67242,0
223.87605,0
224.07969,0
224.28336,0
224.48704,0
224.69075,0
224.89447,0
225.0982,0
225.30196,0
225.50574,0
225.70953,0
225.91334,0
226.11717,0
226.32102,0
226.52489,0
226.72878,0
226.93268,0
227.1366,0
227.34054,0
227.5445,0
227.74848,0
227.95247,0
228.15649,0
228.36052,0
228.56457,0
228.76863,0
228.97272,0
229.17683,0
229.38095,0
229.58509,0
229.78925,0
229.99343,0
230.19762,0
230.40183,0
230.60607,0
230.81032,0
231.01459,0
231.21887,0
231.42318,0
231.6275,0
231.83184,0
232.0362,0
232.24058,0
232.44497,0
232.64939,0
232.85382,0
233.05827,0
233.26274,0
233.46722,0
233.67173,0
233.87625,0
234.08079,0
234.28535,0
234.48993,0
234.69452,0
234.89914,0
235.10377,0
235.30842,0
235.51309,0
235.71777,0
235.92248,0
236.1272,0
236.33194,0
236.5367,0
236.74147,0
236.94627,0
237.15108,0
237.35591,0
237.56076,0
237.76563,0
237.97051,0
238.17541,0
238.38033,0
238.58527,0
238.79023,0
238.9952,0
239.2002,0
239.40521,0
239.61024,0
239.81529,0
240.02035,0
240.22543,0
240.43053,0
240.63565,0
240.84079,0
241.04595,0
241.25112,0
241.45631,0
241.66152,0
241.86675,0
242.07199,0
242.27726,0
242.48254,0
242.68784,0
242.89315,0
243.09849,0
243.30384,0
243.50921,0
243.7146,0
243.92001,0
244.12543,0
244.33087,0
244.53633,0
244.74181,0
244.94731,0
245.15282,0
245.35836,0
245.56391,0
245.76948,0
245.97506,0
246.18067,0
246.38629,0
246.59193,0
246.79758,0
247.00326,0
247.20895,0
247.41466,0
247.62039,0
247.82614,0
248.03191,0
248.23769,0
248.44349,0
248.64931,0
248.85514,0
249.061,0
249.26687,0
249.47276,0
249.67867,0
249.88459,0
250.09054,0
250.2965,0
250.50248,0
250.70847,0
250.91449,0
251.12052,0
251.32657,0
251.53264,0
251.73872,0
251.94483,0
252.15095,0
252.35709,0
252.56325,0
252.76942,0
252.97561,0
253.18182,0
253.38805,0
253.5943,0
253.80056,0
254.00684,0
254.21314,0
254.41946,0
254.62579,0
254.83214,0
255.03851,0
255.2449,0
255.45131,0
255.65773,0
255.86417,0
256.07063,0
256.27711,0
256.4836,0
256.69011,0
256.89664,0
257.10319,0
257.30975,0
257.51634,0
257.72294,0
257.92955,0
258.13619,0
258.34284,0
258.54951,0
258.7562,0
