INcandescent lamp,
Wavelength (nm),Relative intensity
380,0.000349611
383,0.000360799
385,0.000369189
386,0.000450299
388,0.000455893
390,0.000460088
392,0.000618113
393,0.000685238
395,0.000718801
397,0.000763551
398,0.000763551
400,0.000808301
402,0.000808301
404,0.000808301
405,0.00081809
407,0.000976115
409,0.000987302
410,0.001110365
412,0.001143928
414,0.001171897
416,0.001176092
417,0.001255804
419,0.001311741
421,0.001334116
423,0.001350898
424,0.001350898
426,0.001423617
428,0.001468367
429,0.001524305
431,0.001619399
433,0.001703306
435,0.0017984
436,0.001890698
438,0.00200537
440,0.00205012
441,0.002117246
443,0.002117246
445,0.002066902
447,0.002066902
448,0.002061308
450,0.002061308
452,0.002156402
453,0.002161996
455,0.002184371
457,0.002240309
459,0.002250098
460,0.002408122
462,0.002542373
464,0.002598311
465,0.002721374
467,0.002822062
469,0.002876601
471,0.002945125
472,0.002966102
474,0.00301225
476,0.003023438
478,0.002966102
479,0.002946523
481,0.002961906
483,0.002956313
484,0.002956313
486,0.002957711
488,0.003034625
490,0.003118532
491,0.003213626
493,0.003269564
495,0.003324104
496,0.003493315
498,0.003582816
500,0.003638754
502,0.003661129
503,0.00367791
505,0.003627566
507,0.003638754
508,0.003682105
510,0.003817755
512,0.003940818
514,0.004040107
515,0.004108631
517,0.004125413
519,0.004175757
520,0.004164569
522,0.004209319
524,0.004282038
526,0.004332382
527,0.004405102
529,0.004528165
531,0.004634446
533,0.004701572
534,0.004723947
536,0.004712759
538,0.004662415
539,0.004575712
541,0.00453236
543,0.004483414
545,0.004441461
546,0.004449852
548,0.004466633
550,0.004444258
551,0.004431672
553,0.004399508
555,0.00434357
557,0.004365945
558,0.00430721
560,0.00429882
562,0.004308609
563,0.004304413
565,0.004367344
567,0.004466633
569,0.004567321
570,0.004707166
572,0.004869385
574,0.005048386
575,0.005272137
577,0.005462326
579,0.005618952
581,0.00576439
582,0.00580914
584,0.005820328
586,0.005828718
588,0.005786765
589,0.005708452
591,0.00567489
593,0.005648319
594,0.005641327
596,0.005697265
598,0.005742015
600,0.005825922
601,0.005943391
603,0.006053868
605,0.006167142
606,0.006188119
608,0.006301393
610,0.006290205
612,0.00626783
613,0.006188119
615,0.006167142
617,0.006094423
618,0.006122392
620,0.006088829
622,0.006111204
624,0.006144767
625,0.006185322
627,0.00626783
629,0.006357331
630,0.006357331
632,0.006357331
634,0.006346143
636,0.006299994
637,0.00622308
639,0.006167142
641,0.006155955
643,0.006122392
644,0.006139173
646,0.006188119
648,0.006290205
649,0.006362924
651,0.006455222
653,0.006480394
655,0.006513956
656,0.006491581
658,0.006480394
660,0.006480394
661,0.006365721
663,0.006306987
665,0.006245455
667,0.006167142
668,0.006155955
670,0.006188119
672,0.006245455
673,0.006276221
675,0.006346143
677,0.006347542
679,0.006362924
680,0.006357331
682,0.00626783
684,0.006188119
685,0.006111204
687,0.006000727
689,0.005932203
691,0.005830117
692,0.005876266
694,0.00585389
696,0.005915422
698,0.005976954
699,0.006044079
701,0.006077642
703,0.006167142
704,0.006122392
706,0.006094423
708,0.006009118
710,0.005898641
711,0.005775578
713,0.005641327
715,0.005518264
716,0.005382615
718,0.005328075
720,0.005272137
722,0.005283325
723,0.005339263
725,0.00535045
727,0.005406388
728,0.005462326
730,0.005540639
732,0.005560217
734,0.005574201
735,0.005540639
737,0.005462326
739,0.005382615
740,0.005283325
742,0.005160262
744,0.005059574
746,0.004925323
747,0.004824635
749,0.004756111
751,0.004735135
753,0.004690384
754,0.004690384
756,0.004701572
758,0.004665212
759,0.004707166
761,0.004701572
763,0.004662415
765,0.004656822
766,0.004567321
768,0.004500196
770,0.004354758
771,0.004214913
773,0.004108631
775,0.003985568
777,0.003851317
780,0.003750629
